q0p0;q0p1;q0p2;q1p0;q1p1;q2p0;q2p1;q2p2;s[0, 3];s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[1, 3];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[2, 3];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[3, 5];s[3, 6];s[3, 7];s[4, 5];s[4, 6];s[4, 7];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15;cost_ranking 16;cost_ranking 17;cost_ranking 18;cost_ranking 19;cost_ranking 20
36;47;8;17;44;27;33;41;-16;-15;-10;-15;-18;-15;-1;-19;-5;-10;-10;-10;-13;-17;-3;-18;-1;-20;-8;-1;-18;11;30;33;36;39;40;48;54;57;60;62;70;74;76;82;90;103;117
5;8;45;33;26;21;27;15;-4;-19;-1;-10;-4;-9;-19;-9;-18;-8;-13;-7;-7;-6;-4;0;-20;-6;-6;-10;-3;14;19;19;20;21;21;26;31;33;39;44;54;66;70;72;72;75;79
35;30;9;34;39;24;10;38;0;-19;-12;-3;-2;-12;-7;-20;-6;-16;-1;-2;-20;-4;-6;-18;-5;-16;-14;-17;-5;28;35;36;38;43;45;49;51;52;53;58;58;63;71;73;79;86;89
25;42;19;33;48;18;16;39;-15;-9;-17;-4;-5;0;-11;-13;-18;-18;-4;-20;-5;-12;-6;-3;-9;-7;-8;-16;0;35;41;43;46;52;57;58;60;61;64;70;74;76;77;80;89;98;100
8;44;21;2;38;13;14;11;-3;-12;-7;-15;-14;-6;-13;-1;-13;-17;-17;-7;-2;-2;-4;-16;-16;-8;-19;-11;-5;-10;-4;-3;1;2;5;21;22;25;26;26;36;44;53;54;58;59;62
30;29;36;49;36;13;20;27;-17;-17;-18;-11;-18;-12;0;0;-20;-16;-5;-15;-14;-15;-11;-2;-10;-8;-15;-19;-7;29;39;41;43;46;51;55;56;61;63;63;66;69;69;75;77;77;88
41;21;22;31;10;27;44;34;-2;-13;-11;-16;-6;-10;-1;-1;-6;-14;-17;0;-13;-1;-13;-8;-10;0;-2;-7;-2;42;44;48;51;52;54;57;59;60;61;62;64;68;69;70;78;88;98
11;17;30;11;49;11;5;45;-6;-11;-1;-6;-6;-14;-13;-9;-20;-4;-19;-9;-16;-11;-3;-1;-1;-14;-8;-1;-15;-2;14;15;15;16;25;37;41;41;47;47;50;51;57;63;73;79;97
49;31;19;37;0;34;36;3;-20;-10;-14;-9;-18;-20;-10;-6;-8;0;-19;-19;-19;-3;-3;-2;-9;-10;-15;-15;0;0;0;18;24;24;27;34;34;41;41;44;50;51;61;67;74;84;84
39;30;8;25;11;46;7;36;0;-17;-13;-7;-8;-2;-15;-13;-11;-17;-18;-4;-5;-9;-20;-16;-4;-6;-9;-16;-9;-3;6;9;17;22;25;36;40;45;47;50;52;57;60;66;70;81;86
44;0;16;48;1;38;21;31;-17;-14;-12;-4;-8;0;-9;-10;-20;-19;-12;-7;0;-13;-2;-9;-2;-10;0;-10;-4;-17;0;8;20;35;38;47;48;50;50;57;58;67;71;81;88;90;92
48;18;35;29;25;43;0;14;-2;-8;-15;-20;-6;-3;-13;-3;-17;-11;-11;-6;-12;-11;-10;-7;0;-15;-6;-15;-19;-2;14;27;28;30;32;39;42;42;54;55;64;68;77;77;79;87;96
41;14;23;42;6;44;3;9;-5;-9;-18;-18;-3;-15;-3;-19;-8;0;-13;-4;-18;-11;-5;-15;-4;-2;-11;-18;-6;-6;-1;5;20;23;31;32;38;40;40;48;51;53;54;59;63;82;89
35;47;12;14;34;47;14;20;-7;-10;-5;-17;-14;-19;-13;-18;-13;-9;-20;-20;-10;-18;-1;-10;0;-1;-19;-19;-20;2;3;24;25;33;37;39;43;44;45;47;50;52;59;61;74;78;82
