100001;001001;100100;001100;001010;100010;010001;010010;010100
289;494;96;200;138;45;52;42;38
72;97;168;186;41;32;75;69;103
95;64;71;60;46;54;108;258;84
63;80;55;81;55;24;128;125;145
107;186;19;19;88;82;167;221;36
95;122;186;75;14;22;136;22;188
67;10;109;49;102;447;18;282;102
126;357;50;79;142;86;232;66;32
189;209;89;53;95;58;305;64;129
17;18;54;56;124;117;72;320;298
115;160;38;44;271;201;101;260;48
170;121;101;82;114;72;258;588;238
221;58;74;33;45;132;148;144;120
377;182;138;56;181;232;201;77;36
57;42;263;139;51;242;41;242;407
166;439;98;416;345;126;114;115;131
93;38;84;124;19;17;258;66;669
53;90;53;40;156;115;285;641;195
102;322;22;54;69;32;211;69;50
181;232;20;54;248;122;47;105;13
141;209;55;34;48;74;407;109;85
47;28;52;43;78;184;65;115;132
18;65;79;140;352;117;38;464;117
64;39;237;113;215;309;65;129;387
91;295;104;377;239;47;121;132;143
56;113;79;178;88;85;53;238;224
139;28;357;69;193;270;60;269;118
253;240;33;41;304;136;131;95;12
52;240;22;76;401;28;325;214;63
305;328;155;243;313;195;57;39;78
37;113;165;552;216;30;36;43;313
227;154;72;74;264;129;67;84;40
189;264;46;75;91;80;486;79;49
75;39;42;52;78;82;196;246;88
118;179;181;194;157;52;151;119;339
151;127;138;96;11;38;157;29;218
145;120;245;254;51;35;83;44;57
99;34;158;68;113;310;135;368;174
323;151;103;97;299;327;80;89;53
79;82;41;67;276;343;209;356;96
144;176;94;149;24;15;268;111;306
86;287;99;512;160;36;68;31;120
102;63;110;35;62;140;71;113;37
93;188;64;388;111;76;53;30;87
179;820;100;206;200;117;191;22;88
51;25;347;37;141;236;73;241;222
49;81;359;383;88;12;59;44;519
198;118;132;157;227;201;79;50;62
154;133;57;64;96;107;572;483;259
80;148;114;96;6;15;270;84;335
141;139;197;207;62;16;69;17;164
522;43;354;60;53;316;58;115;46
88;56;40;62;80;154;438;412;153
88;133;162;260;82;91;46;65;95
101;81;52;27;48;89;186;103;190
250;69;116;130;65;77;192;89;185
252;121;441;115;101;67;99;17;72
40;48;39;45;92;160;96;334;103
346;109;270;89;46;105;116;121;115
127;97;253;186;170;312;132;206;120
11;55;47;88;451;99;197;574;203
176;350;154;175;249;197;266;168;111
108;87;58;42;173;302;231;360;123
101;299;72;189;127;71;327;417;328
69;105;138;339;52;27;92;19;60
75;47;63;40;150;187;91;469;113
193;305;45;169;180;51;399;181;296
73;42;68;111;445;159;32;228;110
182;181;28;61;102;194;136;121;57
42;256;7;140;475;72;188;228;58
260;343;66;54;40;23;359;76;134
7;41;32;77;194;54;191;247;155
72;201;294;606;162;57;39;43;359
86;77;152;172;189;79;68;97;106
105;134;80;305;91;64;223;137;367
111;72;95;156;44;60;29;18;42
114;71;307;84;89;235;128;257;234
57;308;43;343;195;53;324;200;234
191;297;44;33;65;168;214;118;70
112;39;66;57;49;138;134;101;213
357;80;200;63;88;207;174;172;62
381;190;236;60;88;280;245;150;101
352;133;35;7;64;157;294;124;50
53;288;32;71;305;136;236;119;68
10;66;35;158;540;168;53;246;117
80;162;25;133;158;73;542;203;127
119;116;238;91;134;133;169;142;289
67;60;88;47;198;167;63;77;74
80;68;73;47;20;67;619;214;189
81;203;88;421;123;35;292;212;420
82;115;180;102;108;405;184;442;173
82;602;13;144;350;81;84;62;9
325;264;208;288;209;164;34;51;70
218;75;240;31;54;176;180;48;74
89;57;304;104;83;183;43;157;116
180;236;130;238;122;75;252;66;75
121;231;78;119;141;114;362;142;428
39;54;363;419;60;29;122;71;431
224;158;208;53;23;31;374;123;297
60;87;72;88;165;159;103;132;139
103;91;155;74;343;165;84;159;113
328;88;402;120;125;178;134;195;75
17;25;71;118;135;49;91;173;401
46;148;122;293;145;47;350;298;361
74;105;146;113;104;83;181;285;88
107;95;220;133;55;125;117;90;125
440;68;638;102;35;225;105;22;160
70;189;71;151;451;201;133;154;57
192;119;128;36;125;321;121;74;63
68;335;111;379;61;8;88;18;168
276;312;28;135;64;35;513;71;80
439;335;309;181;175;168;76;48;48
39;93;185;413;269;155;99;151;214
72;100;71;67;248;431;144;437;103
88;64;93;39;139;495;66;261;114
605;387;64;69;37;114;235;16;32
149;23;456;73;95;339;100;237;358
14;54;116;138;324;183;25;120;126
43;64;22;25;62;40;169;150;49
146;61;165;76;63;163;343;250;188
42;28;77;85;423;168;23;283;63
11;26;21;71;438;122;83;776;133
48;243;210;446;189;63;50;87;273
92;74;43;36;88;145;255;372;69
78;180;76;108;20;30;437;36;90
418;312;248;176;110;98;144;29;40
89;59;84;64;103;92;304;225;189
209;79;84;25;76;227;83;71;39
53;129;241;709;128;101;90;93;202
72;252;314;502;113;61;85;72;199
389;96;55;37;28;63;350;70;51
320;83;112;38;14;52;251;49;341
31;136;110;134;322;260;37;185;60
447;72;69;34;62;114;315;114;83
146;64;315;172;193;200;26;34;87
47;143;386;264;152;69;97;100;443
128;281;38;175;256;64;254;163;61
259;160;267;129;36;118;46;35;52
150;92;558;43;64;160;49;75;100
253;423;14;25;246;174;68;32;10
384;79;252;53;16;56;186;31;64
109;60;137;142;108;89;129;78;216
130;118;129;180;90;96;245;137;330
243;256;44;14;88;147;255;206;48
493;62;269;69;16;41;125;21;117
261;938;95;88;105;54;144;19;27
98;158;42;49;125;242;351;180;62
134;118;78;97;246;225;107;125;88
142;122;119;51;140;100;215;285;63
43;24;195;150;53;56;93;123;205
179;26;106;74;334;725;18;229;50
159;67;176;172;58;37;212;51;352
17;14;67;51;117;144;99;869;208
22;30;43;49;126;41;71;216;157
218;31;98;38;44;122;128;162;120
160;259;154;244;550;296;80;109;65
239;182;153;116;54;54;99;62;68
129;29;465;160;64;163;161;122;323
439;91;282;79;33;176;317;91;201
74;43;126;63;41;56;364;133;350
399;420;82;60;46;112;440;111;107
225;124;344;50;78;394;158;77;140
116;34;390;98;20;66;62;52;170
139;131;249;165;99;46;146;52;157
176;155;497;526;143;156;26;13;87
100;64;78;80;216;96;100;220;219
32;206;55;377;429;65;57;61;140
91;448;39;56;174;102;135;58;33
49;401;50;126;96;22;29;20;60
24;20;87;116;101;248;23;123;203
140;105;151;128;317;542;53;163;59
559;188;145;71;37;147;173;94;67
165;54;78;43;56;680;105;97;31
597;129;54;33;45;77;252;91;44
155;222;80;293;69;20;241;86;180
40;115;346;483;256;58;20;25;113
31;61;32;88;264;186;52;414;129
83;30;404;289;62;66;103;159;551
65;81;59;135;99;166;83;214;59
143;166;42;22;190;104;175;148;40
119;261;40;184;33;8;327;105;263
97;396;43;121;159;63;189;142;68
57;75;181;272;53;28;258;92;313
200;199;75;398;94;26;134;54;149
56;72;61;93;75;65;528;452;328
319;237;132;170;379;208;49;207;62
134;537;28;109;149;76;233;144;40
31;29;136;123;85;126;93;286;210
219;101;248;97;21;75;69;20;40
90;39;160;92;22;44;135;84;514
111;244;75;103;93;140;98;41;36
191;34;187;31;23;74;199;189;355
260;261;115;133;415;139;120;113;75
44;46;65;26;165;318;180;522;240
55;58;98;85;116;233;80;417;106
60;112;46;193;267;232;156;290;189
382;58;153;169;21;26;61;19;126
50;24;279;91;97;82;112;248;357
153;233;50;202;69;34;191;52;129
67;167;137;395;186;48;42;35;195
25;40;36;133;210;60;113;239;185
368;313;150;40;104;45;401;161;106
65;132;33;58;203;158;273;259;43
1003;205;147;21;47;151;190;54;37
194;111;41;14;40;78;291;141;103
37;228;44;374;252;96;89;138;155
34;206;48;226;209;86;293;395;355
58;102;85;216;203;59;230;474;289
177;84;157;41;21;56;545;114;262
33;32;36;64;83;50;84;274;329
170;288;59;102;233;84;220;101;92
222;185;24;30;101;132;244;132;37
93;72;51;100;135;156;200;202;122
303;165;123;78;31;62;54;26;27
411;267;199;146;96;147;174;98;211
114;111;120;50;46;91;89;126;179
318;150;122;262;16;62;85;15;70
140;76;268;143;149;203;45;182;230
70;71;198;234;110;190;115;164;172
54;358;82;332;307;98;151;126;128
168;329;25;46;245;57;187;126;90
129;77;135;44;211;844;47;207;100
540;126;97;23;32;63;240;39;22
51;17;208;74;41;184;39;83;223
40;24;63;91;156;75;92;396;393
31;121;104;97;637;325;28;128;41
78;144;68;132;128;68;87;85;50
201;123;128;56;13;31;401;30;115
135;111;249;105;290;281;156;190;191
108;184;266;147;39;34;203;23;149
25;65;24;46;50;19;136;197;87
197;198;351;312;163;130;112;52;67
90;163;24;66;124;73;520;456;144
418;271;144;229;53;73;80;20;114
38;121;57;78;94;110;105;207;59
101;113;169;129;137;168;61;233;177
376;214;221;154;276;200;189;96;92
77;133;59;133;186;116;75;183;83
143;143;168;49;377;252;51;71;12
208;42;78;42;31;123;257;155;81
178;53;83;9;98;397;195;253;63
259;52;222;67;20;66;302;107;329
42;28;210;47;112;159;56;160;249
61;264;35;91;242;89;67;81;63
282;71;182;284;124;128;35;112;64
77;76;170;325;191;91;21;61;42
118;47;375;88;29;82;213;112;200
32;41;48;44;35;33;89;85;117
48;82;454;181;85;62;130;129;565
158;341;45;174;179;36;230;129;74
101;283;57;203;398;129;119;143;204
70;210;169;480;33;37;161;12;71
258;261;94;206;57;46;76;23;118
65;222;49;249;425;64;193;169;209
287;135;133;64;57;319;199;158;99
98;93;278;65;49;47;87;24;145
88;83;46;36;147;416;95;320;61
427;294;103;77;156;124;276;78;71
111;100;86;93;27;38;187;41;113
258;216;184;139;78;87;227;100;159
155;81;32;23;52;271;195;275;61
80;108;56;127;67;37;209;329;241
35;40;347;175;69;112;56;67;400
48;256;52;125;42;26;137;19;31
160;155;299;233;73;154;72;18;140
124;13;435;150;19;136;155;95;635
98;54;217;91;38;69;42;40;63
90;471;57;191;71;9;493;74;191
231;269;176;173;66;169;277;89;170
20;51;71;88;289;57;136;217;275
49;23;62;27;77;270;92;397;80
343;562;96;35;77;204;98;25;25
17;115;40;223;312;72;34;83;126
139;173;161;223;119;111;164;83;332
179;207;199;163;228;121;37;58;76
306;223;92;57;201;403;50;29;9
167;226;75;112;384;357;27;104;15
89;280;147;164;680;245;41;163;79
152;54;540;91;31;122;367;130;421
15;81;84;306;266;90;66;167;82
68;224;175;149;45;35;73;26;211
50;126;66;122;106;52;195;430;194
129;66;250;47;28;102;144;38;155
295;57;196;20;87;407;123;188;55
65;445;43;118;31;12;278;35;120
114;189;157;126;132;60;135;80;202
195;47;354;151;96;135;38;59;214
304;21;189;22;79;628;77;350;45
109;211;49;36;42;93;579;190;126
251;68;259;179;52;114;144;42;184
83;16;608;243;60;205;21;55;155
24;74;57;309;369;71;37;104;53
158;172;59;74;100;41;90;28;102
14;21;155;241;46;91;64;125;454
13;17;101;72;63;148;63;494;264
201;78;118;35;47;114;448;379;385
192;71;30;19;106;347;231;216;44
291;486;236;131;116;191;262;55;85
106;46;320;200;102;169;39;48;56
62;242;63;219;316;41;43;53;52
146;30;202;78;30;53;65;46;129
64;23;150;63;178;189;27;139;177
