q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13;cheapest; 2nd;3rd;most expensive
7.0;45.0;1.0;24.0;-18.0;-17.0;-1.0;-2.0;-1.2591303889387664;-0.6607317882549961;0.1121997376282069;0.6607317882549963
24.0;35.0;45.0;21.0;-17.0;-11.0;-10.0;-5.0;-0.20268339700579308;0.22801882163151732;0.25335424625724134;0.7093918895202759
2.0;49.0;34.0;20.0;-8.0;-5.0;-7.0;-7.0;-1.2263234481118053;-0.9231873148706847;0.013778915147323656;0.39958853927238613
10.0;38.0;44.0;9.0;-1.0;-7.0;-6.0;-18.0;-0.6840564648945517;-0.25335424625724134;0.35469594476013794;0.9374107111517931
8.0;26.0;8.0;49.0;-11.0;-19.0;-17.0;-8.0;-0.9239978392911155;-0.6467984875037808;-0.161699621875945;0.5081988116101138
45.0;9.0;17.0;4.0;-13.0;-12.0;-15.0;-8.0;-1.0471975511965976;-0.8901179185171081;-0.20943951023931956;0.10471975511965981
18.0;37.0;43.0;45.0;-11.0;0.0;-5.0;-8.0;-0.028049934407051724;0.3365992128846207;0.6451484913621897;0.6731984257692414
24.0;42.0;17.0;30.0;-7.0;-16.0;-9.0;-10.0;-0.1354134764478358;-0.027082695289567082;0.297909648185239;0.6229019916600453
14.0;16.0;0.0;28.0;-1.0;-17.0;-4.0;-18.0;-0.10244323870401512;-0.06829549246934341;0.3414774623467166;0.37562520858138826
27.0;22.0;49.0;22.0;-13.0;-13.0;-1.0;0.0;-0.4560376432630344;-0.2533542462572413;0.22801882163151732;0.4053667940115862
42.0;26.0;38.0;38.0;-16.0;0.0;-11.0;-7.0;0.3791577340539405;0.48748851521220926;0.6770673822391795;1.1103905068722544
21.0;33.0;25.0;3.0;-3.0;-5.0;-19.0;-20.0;-0.10373183290154975;-0.014818833271649956;0.5779344975943487;0.6964851637675484
5.0;10.0;19.0;43.0;-13.0;-13.0;-7.0;-14.0;-0.8956294845760375;-0.5924933513349171;-0.23424155750450215;-0.1240102363259129
49.0;23.0;47.0;7.0;-12.0;-3.0;-10.0;-16.0;-0.8578964554033666;0.08458134067357137;0.2537440220207139;0.8337303580680604
31.0;0.0;22.0;6.0;-17.0;0.0;-10.0;-14.0;-0.9490227807719169;-0.2945243112740433;0.49087385212340484;0.5235987755982986
10.0;20.0;20.0;34.0;-16.0;-15.0;-7.0;-4.0;-0.408407044966673;0.06283185307179617;0.18849555921538763;0.7225663103256528
38.0;13.0;45.0;33.0;-1.0;-19.0;-6.0;-6.0;0.02454369260617023;0.31906800388021317;0.31906800388021334;1.055378782065321
40.0;31.0;22.0;41.0;-12.0;0.0;-8.0;-11.0;0.044456499814950035;0.1926448325314496;0.5186591645077488;1.1114124953737474
48.0;27.0;47.0;47.0;-12.0;-11.0;0.0;-4.0;0.4188790204786389;0.5235987755982987;0.7592182246175332;0.7853981633974482
21.0;14.0;12.0;26.0;-16.0;-9.0;-10.0;-2.0;0.03739991254273578;0.07479982508547134;0.8601979884829197;0.8601979884829198
5.0;23.0;36.0;26.0;-13.0;-18.0;-3.0;-18.0;-0.4072434921320103;0.02908882086657194;0.11635528346628854;0.8435758051305924
31.0;33.0;23.0;42.0;0.0;-19.0;-2.0;-3.0;0.5021398093852536;0.5021398093852536;0.5021398093852537;0.9656534795870264
7.0;24.0;2.0;27.0;-6.0;-4.0;-8.0;-18.0;-0.3665191429188092;0.1570796326794897;0.5759586531581288;0.6806784082777886
49.0;13.0;35.0;12.0;-2.0;-11.0;-11.0;-16.0;-0.9787269420798972;-0.30207621669132634;0.012083048667652974;0.7853981633974482
13.0;16.0;28.0;44.0;-13.0;0.0;-19.0;-17.0;-0.31166593785613006;-0.23686611277065878;0.13713301265669764;0.48619886305556353
45.0;40.0;8.0;36.0;0.0;-8.0;-18.0;-18.0;-0.26179938779914935;0.3116659378561303;0.43633231299858233;0.8103314384259387
29.0;0.0;35.0;9.0;-1.0;-4.0;-6.0;-9.0;-1.3922967442045675;-0.3569991651806584;-0.17849958259032905;0.8567979964335801
45.0;23.0;5.0;35.0;-13.0;-3.0;-18.0;-20.0;-0.6645676767209179;-0.012083048667653085;0.012083048667653085;0.954560844744591
10.0;31.0;14.0;35.0;-19.0;-10.0;-17.0;-9.0;-0.5526875964648711;0.11635528346628865;0.3199770295322937;0.9599310885968813
14.0;47.0;12.0;49.0;-8.0;-1.0;-9.0;0.0;-1.1374732021618217;-0.2708269528956718;0.054165390579134276;0.9749770304244185
17.0;12.0;20.0;41.0;-9.0;-1.0;-1.0;-8.0;-0.6283185307179586;-0.5340707511102649;-0.09424777960769382;0.28274333882308134
18.0;33.0;45.0;21.0;-16.0;-14.0;-1.0;-2.0;-0.47638904992959996;0.09012765809478906;0.21888145537305925;0.8626504417644103
12.0;49.0;47.0;35.0;-1.0;-12.0;-14.0;-18.0;-0.26961429489763145;0.2696142948976316;0.45717206526120124;0.8322876059883408
25.0;4.0;19.0;35.0;-9.0;-11.0;-10.0;-19.0;-0.3199770295322939;-0.11635528346628865;0.3199770295322936;0.727220521664304
49.0;10.0;30.0;48.0;-5.0;-6.0;-5.0;-16.0;-0.35040841136193857;-0.18124573001479583;0.5920693847149995;1.0028930394152031
15.0;45.0;24.0;41.0;-6.0;-2.0;-15.0;0.0;-0.3141592653589793;0.23561944901923432;0.23561944901923448;1.0733774899765125
45.0;12.0;18.0;49.0;-1.0;-13.0;-4.0;-20.0;-0.3983903727378361;-0.056912910391119564;0.42115553689428387;0.8536936558667915
23.0;24.0;36.0;2.0;-7.0;0.0;-3.0;-12.0;-0.719948316447661;-0.35997415822383055;0.5235987755982987;0.6872233929727672
11.0;22.0;32.0;47.0;-10.0;-16.0;-1.0;-7.0;-0.3365992128846205;-0.1121997376282069;0.16206628768518794;0.3864657629416016
35.0;44.0;45.0;12.0;-13.0;-15.0;-20.0;-9.0;-0.1329135353441836;0.22957792468540783;0.71289987139153;0.7612320660621421
47.0;38.0;19.0;31.0;0.0;-18.0;-16.0;-16.0;-0.06041524333826531;0.22957792468540794;0.39874060603255046;0.5437371900443871
11.0;7.0;45.0;23.0;-13.0;0.0;-8.0;0.0;-0.48748851521220915;-0.3791577340539404;-0.13541347644783586;-0.10833078115826866
4.0;48.0;41.0;15.0;-13.0;-11.0;-7.0;-3.0;-1.145908795776605;-0.5278905688409081;0.19313069591740506;0.759647403941794
