10010;01010;10001;01100;10100;01001
499;481;222;298;172;140
33;142;159;246;73;353
340;89;969;129;147;195
95;255;22;455;106;81
119;300;110;258;76;233
119;299;290;399;80;322
194;80;454;39;178;484
276;68;355;193;325;253
98;108;75;302;106;313
51;342;133;337;93;906
243;369;228;161;66;189
318;204;330;111;224;434
137;266;99;164;87;59
183;180;901;140;130;306
44;136;138;598;469;62
91;71;164;119;191;192
80;48;198;577;221;149
516;185;377;155;458;93
60;32;259;308;313;55
117;38;354;111;104;475
364;69;353;124;726;169
256;149;359;83;116;330
166;535;127;123;55;459
124;33;765;60;245;340
105;145;52;170;104;126
129;197;144;109;144;122
65;166;44;393;135;343
126;114;86;87;231;95
78;85;105;262;147;131
126;209;191;494;219;417
39;20;338;150;157;143
236;183;39;298;319;122
179;153;177;570;242;190
645;543;80;318;141;247
99;72;189;228;254;126
254;301;71;67;93;54
399;217;130;64;92;311
503;169;448;21;130;95
128;250;70;378;113;144
354;95;105;99;367;65
66;169;116;206;106;154
504;331;177;124;84;87
85;115;303;34;17;502
120;65;207;159;296;150
454;99;131;37;330;37
457;909;69;150;113;88
100;143;60;272;143;77
218;183;79;596;278;88
162;334;162;228;225;62
198;147;258;165;109;696
459;132;486;33;83;183
138;143;151;184;230;265
26;92;198;218;222;239
124;463;72;169;81;175
105;120;80;468;533;74
67;60;144;435;580;316
64;264;208;285;205;523
517;223;118;139;325;88
110;250;132;42;16;302
496;548;37;91;79;90
26;108;121;290;88;272
282;395;113;136;265;53
870;243;149;64;77;117
177;234;105;452;169;168
204;42;197;137;574;66
423;595;160;70;88;94
354;199;176;149;203;125
269;216;34;214;97;59
147;298;128;562;589;186
584;126;370;37;239;79
97;133;221;212;116;201
189;164;407;17;49;261
148;90;836;12;222;189
130;89;455;411;201;193
106;61;149;146;222;74
220;235;72;491;131;105
250;213;527;71;189;129
73;194;231;456;272;298
213;149;136;159;196;55
72;366;94;548;159;429
320;91;432;141;284;182
167;261;44;648;138;95
41;43;424;72;151;383
116;144;142;594;344;258
60;80;66;130;86;195
151;235;100;75;51;110
48;141;41;374;121;116
163;147;51;185;118;119
138;231;120;63;80;184
82;277;92;319;363;87
85;29;225;206;735;59
56;116;219;118;43;1020
619;213;172;58;130;195
328;205;107;38;95;118
757;430;139;82;58;108
120;56;429;101;112;838
77;93;156;229;222;212
313;77;169;167;838;39
285;79;104;199;151;140
181;116;82;176;80;91
209;134;317;127;202;87
71;96;137;57;69;114
89;697;91;95;32;246
96;232;67;341;104;90
496;228;103;134;176;67
159;389;50;228;161;158
320;313;424;80;193;147
108;468;116;359;39;344
161;755;203;122;82;415
282;495;34;135;96;75
187;144;93;884;345;125
280;96;622;27;79;91
128;260;252;120;134;359
64;28;561;43;263;104
163;451;90;49;29;448
140;101;140;114;163;192
34;152;256;100;26;1023
118;99;81;210;420;50
83;541;27;251;118;86
529;108;240;54;162;156
181;300;150;29;18;162
445;280;322;415;200;423
55;104;272;245;84;526
98;359;19;252;91;63
354;47;189;101;355;84
715;104;544;74;303;165
268;39;483;113;152;160
41;143;122;397;377;194
184;49;177;63;312;129
44;41;131;433;462;131
111;140;255;116;248;246
109;49;901;27;175;356
567;250;402;98;178;143
145;96;315;92;227;452
206;292;121;99;109;145
117;363;59;422;226;148
124;57;378;54;187;123
112;61;145;220;201;145
65;49;245;99;159;230
164;212;129;105;109;74
55;75;159;431;596;72
206;612;137;187;86;371
120;102;193;160;183;178
78;306;139;201;44;509
71;130;560;122;92;409
67;154;13;761;370;89
462;295;169;29;82;90
355;54;317;79;431;75
31;208;127;427;129;273
566;75;504;34;162;41
93;169;166;292;214;126
193;67;785;99;120;181
360;127;274;55;154;133
584;120;405;55;380;43
114;345;218;112;73;589
451;163;141;129;498;27
214;640;322;93;133;266
53;77;67;140;182;100
265;331;289;102;91;434
319;241;51;375;183;127
265;104;137;177;203;55
670;283;369;67;271;123
56;65;268;167;227;269
53;227;61;808;159;332
127;296;263;45;39;198
121;127;61;103;133;86
71;160;161;505;314;180
110;295;51;709;108;265
74;54;473;72;72;294
224;259;101;42;57;89
121;55;256;110;141;94
27;139;125;180;79;369
35;76;325;97;21;1022
126;371;250;504;120;476
212;42;889;44;72;302
196;124;430;97;359;67
115;308;158;188;50;385
446;192;132;63;92;300
62;88;554;103;58;787
405;474;144;126;87;98
113;144;95;116;199;103
361;277;423;119;240;257
157;22;480;83;268;243
512;162;331;59;76;119
268;885;86;241;65;279
164;43;217;217;245;136
52;70;120;204;108;91
523;561;91;88;109;37
103;239;73;206;274;91
57;111;86;308;295;65
41;188;310;52;39;818
509;273;359;91;230;123
135;60;114;144;94;152
185;293;147;71;58;162
508;245;157;258;453;99
278;976;249;201;101;93
109;273;100;133;201;82
70;94;470;77;95;533
173;405;231;46;55;117
390;318;134;143;358;58
161;53;688;124;561;97
230;71;811;70;300;133
66;140;123;231;151;266
50;120;249;419;409;481
179;519;90;179;50;495
51;97;82;350;301;104
381;209;295;33;124;169
70;494;32;214;89;161
194;32;691;88;173;356
163;132;361;38;65;166
95;97;685;250;119;227
156;63;297;108;156;210
97;274;140;434;269;383
119;53;610;45;74;166
242;43;118;75;173;50
132;679;71;171;53;161
155;237;220;345;114;685
190;132;666;146;120;461
71;122;248;209;69;145
106;119;843;50;110;280
44;91;104;333;309;76
41;91;176;167;188;161
120;258;290;153;107;314
175;48;269;211;230;219
178;139;701;59;48;209
137;323;301;510;159;294
18;113;272;225;147;922
26;72;60;784;258;136
86;146;69;214;96;370
87;175;200;247;245;272
297;312;76;106;58;83
171;142;134;89;243;88
47;317;71;193;187;361
242;244;300;202;629;86
163;189;112;258;193;136
206;214;404;131;94;216
445;211;258;58;172;185
152;42;425;63;217;346
68;101;213;99;437;175
601;139;398;26;153;39
58;382;55;335;98;117
74;456;68;465;47;638
188;338;82;234;164;100
110;151;57;229;217;47
330;94;510;39;186;266
95;350;36;406;265;133
114;304;70;672;248;243
92;121;465;162;45;576
195;274;116;264;240;138
336;402;48;68;116;52
29;62;120;207;67;361
74;170;166;332;123;127
612;56;600;37;142;133
114;170;220;166;174;87
215;199;132;128;367;50
125;87;111;101;176;108
80;483;51;247;337;191
192;216;121;102;165;175
119;247;242;23;60;181
158;111;558;97;180;139
25;29;301;139;252;150
32;212;381;226;31;999
133;248;180;19;37;275
64;256;20;442;72;81
76;35;603;112;246;133
162;206;68;88;37;280
366;164;466;23;65;91
104;87;393;214;187;72
170;250;227;42;27;96
34;64;47;269;361;77
153;53;908;74;244;333
117;131;30;310;339;43
183;302;65;233;122;175
234;101;377;36;52;74
68;93;97;488;228;277
52;191;56;698;478;203
178;138;183;70;279;145
293;85;352;54;419;203
360;87;281;190;473;75
42;201;58;540;187;285
121;114;538;92;209;385
51;307;103;81;25;539
201;119;104;132;237;28
100;68;249;332;242;169
189;73;81;88;127;91
54;223;140;393;48;632
298;129;108;112;142;68
249;184;350;498;384;301
373;558;108;178;195;78
195;123;68;208;254;81
105;288;39;255;268;29
34;73;81;158;85;194
208;72;125;213;868;49
167;272;95;131;110;85
74;286;131;408;157;293
543;641;117;56;95;54
83;292;181;149;23;626
322;216;315;115;79;260
181;389;186;566;224;342
236;107;405;40;130;374
73;77;351;61;78;320
342;189;185;46;180;201
299;270;41;204;145;139
189;134;292;35;48;136
51;111;303;199;82;381
151;69;216;126;365;175
267;140;175;341;755;125
169;254;152;179;370;57
519;75;537;50;233;81
144;304;23;517;243;117
364;150;104;73;476;40
201;173;476;69;111;191
233;112;351;708;453;183
37;58;54;500;552;80
508;284;90;212;348;24
65;130;353;579;164;375
52;24;285;152;317;157
141;31;646;51;287;129
205;270;300;42;44;102
60;37;352;137;151;167
26;64;129;247;192;170
92;48;258;141;376;65
346;65;319;97;457;49
112;69;85;168;209;191
526;82;581;22;220;259
774;209;154;151;199;173
563;144;159;133;365;153
218;77;730;49;242;484
329;153;295;191;684;143
161;206;154;101;295;104
55;419;142;328;38;869
132;113;54;668;161;77
37;196;253;104;37;435
53;26;175;322;244;210
400;163;157;224;266;51
250;92;150;133;188;76
56;66;86;102;109;105
163;405;182;50;50;366
99;419;156;76;66;262
82;55;123;139;169;217
121;181;119;572;398;208
259;96;203;211;195;43
33;180;79;400;61;273
193;194;148;217;384;76
391;316;206;149;242;260
175;88;210;112;168;195
199;120;249;454;600;96
355;217;306;104;511;75
156;114;96;116;163;144
316;896;53;166;139;83
149;154;643;94;411;263
206;67;470;168;312;69
459;359;68;308;221;96
243;255;58;233;378;124
215;121;440;164;152;421
118;341;122;223;122;703
142;50;541;232;356;94
29;109;302;185;67;525
236;532;126;382;176;263
144;252;65;481;647;52
202;826;108;195;75;108
219;51;194;269;391;60
61;80;121;828;279;173
43;74;144;219;199;308
152;80;166;44;196;60
38;68;360;102;186;239
402;209;201;91;272;79
200;155;243;157;151;80
754;251;262;22;210;52
673;302;80;53;121;85
786;254;139;38;160;48
60;55;308;326;212;217
190;411;309;117;64;146
98;59;163;196;247;76
207;202;79;103;84;296
883;630;69;211;84;150
311;497;91;337;61;448
233;385;65;167;56;230
288;256;55;291;311;130
91;138;130;77;142;125
336;73;424;77;137;120
364;133;696;95;354;136
62;256;249;191;49;351
49;163;92;245;95;274
98;187;74;612;134;172
564;276;60;41;86;47
140;238;90;185;86;172
300;132;483;68;145;147
