10001010;10001100;10001001;01001100;01001001;01001010;10010010;00101010;10010100;10010001;01010100;00101100;00101001;01010001;01010010;00110010;00110001;00110100
96;50;47;25;23;20;19;12;12;3;8;5;12;4;3;5;3;4
23;24;5;61;2;22;18;8;9;3;56;31;1;1;24;9;0;33
0;6;7;20;33;2;2;19;29;27;12;55;51;28;3;21;78;88
3;1;16;17;85;27;1;12;0;8;10;10;87;45;2;8;79;9
119;8;13;0;10;61;62;227;7;14;0;17;40;5;18;31;7;7
46;70;92;64;57;17;18;5;19;45;10;31;56;20;8;3;18;11
34;73;57;16;8;4;34;56;79;38;39;78;48;7;4;37;23;82
6;25;2;13;0;4;13;15;58;9;53;61;9;10;16;28;19;113
5;15;13;16;15;10;9;2;36;52;38;2;4;61;15;3;18;6
3;1;1;0;5;1;2;2;5;6;4;0;11;10;4;8;16;8
6;9;25;2;3;1;2;9;1;6;3;14;30;2;0;2;10;2
2;12;0;33;3;17;7;3;23;5;92;21;5;23;52;48;21;85
26;72;21;4;1;4;11;31;84;14;12;37;7;1;9;15;3;25
1;10;1;10;1;2;0;2;8;4;11;9;1;5;0;1;4;11
48;14;12;16;34;118;13;79;11;19;23;8;58;55;36;11;38;6
3;43;2;47;16;4;3;0;160;16;108;17;10;21;5;1;15;38
1;8;2;3;5;0;7;8;50;8;27;21;52;12;2;16;73;108
15;20;18;7;3;7;98;8;114;116;24;10;14;34;35;52;48;63
34;14;6;2;1;7;70;18;46;13;22;15;6;8;34;37;12;15
18;121;33;4;14;4;1;11;25;6;2;28;55;7;2;2;15;4
26;2;2;2;9;40;76;10;5;15;3;5;10;5;58;23;6;3
9;14;60;10;32;0;1;7;9;24;4;30;143;9;0;2;61;12
10;20;57;7;38;2;59;0;72;145;47;4;9;126;21;11;57;29
2;15;34;82;172;47;0;4;7;6;23;36;55;30;17;3;13;22
6;7;15;1;1;4;37;0;7;24;3;0;8;0;13;4;0;0
12;7;37;10;61;9;17;3;4;39;11;1;15;67;10;1;42;0
28;8;9;1;2;15;20;22;11;7;0;2;0;3;14;16;0;0
22;1;42;1;39;19;43;29;4;32;2;2;31;16;5;12;2;0
8;24;38;11;37;4;49;1;98;208;18;5;12;40;9;2;24;6
24;32;60;3;3;0;23;16;13;100;0;13;21;10;0;18;68;35
3;35;69;7;30;1;4;4;28;162;4;17;10;66;3;1;8;6
21;31;11;36;15;40;33;12;41;22;166;21;7;46;66;12;8;53
16;4;7;4;40;73;1;27;1;3;8;5;30;43;41;17;28;2
93;30;73;5;21;44;41;11;6;41;4;7;9;13;37;11;9;3
104;71;91;16;5;15;95;13;70;126;3;11;18;7;5;24;26;30
93;125;114;20;21;32;29;36;31;57;28;35;62;46;38;28;43;12
77;20;26;12;22;188;25;85;5;3;5;9;5;5;99;44;1;2
26;22;12;4;2;6;29;76;30;16;10;65;39;5;10;53;30;50
20;12;10;6;2;14;4;8;1;8;2;10;4;1;7;5;5;2
4;6;3;4;2;5;12;0;13;12;8;0;1;10;5;5;3;5
30;36;23;38;34;30;33;3;46;17;185;10;9;76;85;14;9;36
9;16;44;29;36;4;16;1;56;87;87;5;9;78;30;8;49;34
31;79;34;35;9;3;6;50;17;6;34;154;71;7;2;22;39;61
37;82;19;42;28;25;7;40;65;3;84;31;19;36;21;43;40;163
20;3;43;0;24;7;56;19;15;77;2;15;30;32;14;44;27;18
9;14;3;10;4;9;2;15;4;2;12;4;10;6;22;21;13;9
5;15;6;81;10;8;0;6;7;2;34;8;9;0;6;2;2;6
25;6;6;4;2;38;31;47;12;25;11;2;4;25;95;78;27;6
2;6;15;1;25;1;7;13;5;8;4;18;155;38;7;30;221;43
145;12;18;61;48;215;79;87;2;8;11;8;13;20;80;12;0;2
14;18;8;67;20;63;28;26;49;7;95;34;10;17;70;7;7;39
84;80;98;3;10;9;86;14;34;92;22;12;3;72;73;39;14;9
0;8;2;8;3;3;3;2;48;18;32;5;2;22;31;14;9;14
9;7;12;19;9;17;13;89;11;16;23;62;47;11;13;65;54;45
69;77;56;59;22;40;14;58;31;10;43;48;34;14;23;26;21;49
29;7;61;8;58;21;18;10;15;40;21;5;27;63;18;6;16;7
3;4;21;21;105;15;0;3;1;0;17;0;24;59;4;1;14;3
20;0;9;4;43;37;1;82;0;4;1;19;58;36;15;27;23;6
5;16;29;84;44;30;10;0;17;35;34;15;3;17;35;8;4;13
41;6;7;8;23;15;40;2;6;2;12;4;3;30;42;18;10;16
2;7;12;43;30;3;3;3;13;28;11;28;28;17;3;6;51;28
2;26;6;52;12;2;0;6;10;2;15;109;44;3;0;1;11;62
2;9;15;7;58;4;16;0;16;62;26;4;41;140;12;6;109;4
28;3;61;19;88;70;4;40;1;21;2;13;62;6;7;8;28;3
30;15;48;15;45;22;28;47;14;37;8;25;48;42;17;83;162;86
20;1;14;2;4;1;29;106;1;27;8;26;71;14;18;109;70;27
5;2;1;9;13;12;9;8;6;0;20;4;4;9;35;39;5;19
43;11;79;16;12;62;24;13;9;24;9;5;32;12;38;3;7;3
28;8;117;43;61;44;28;3;10;41;25;2;25;54;57;6;5;2
54;2;0;3;2;34;61;146;22;6;13;19;12;5;21;56;18;31
25;34;9;27;5;24;33;19;49;27;101;19;3;42;62;79;66;166
2;40;10;26;12;25;21;15;42;19;27;17;17;18;27;64;83;65
0;0;4;10;36;6;17;10;9;80;48;10;48;234;55;40;105;46
32;83;108;27;32;3;14;5;58;38;11;18;27;7;1;3;6;6
1;16;7;65;46;14;5;6;27;6;43;37;7;29;10;16;19;78
55;90;49;17;16;15;31;3;88;40;12;8;5;3;4;1;10;5
3;8;3;0;1;0;5;4;15;46;2;2;0;6;0;19;50;12
10;4;20;6;50;14;35;1;25;62;8;3;38;42;18;13;68;16
13;54;37;31;27;8;9;0;58;42;18;4;2;16;3;0;6;7
4;11;8;17;5;9;7;1;10;11;2;10;30;5;20;8;25;10
0;10;5;9;21;12;17;0;18;41;40;10;11;121;70;23;61;20
14;9;0;25;8;57;7;45;3;1;4;35;4;3;11;40;10;14
7;41;3;71;11;23;8;5;81;21;212;17;4;66;60;15;22;66
12;5;21;35;94;19;7;6;4;14;31;12;61;140;33;13;50;6
12;26;244;4;56;1;7;7;12;102;0;9;62;7;2;2;21;3
47;18;9;36;27;80;8;128;11;4;7;98;30;6;26;10;5;17
27;23;23;36;51;28;14;9;8;17;39;27;13;85;32;28;22;20
10;16;14;25;24;30;10;32;15;17;18;51;20;13;11;26;44;55
2;22;3;9;1;3;4;3;16;2;10;14;5;3;7;4;4;14
79;13;13;5;3;9;74;36;16;25;3;2;5;3;4;11;1;2
62;122;76;66;46;39;18;26;89;21;27;44;16;3;5;4;3;14
1;66;2;43;1;2;5;35;35;5;45;120;17;2;6;22;16;61
15;6;10;19;6;23;45;16;36;36;27;6;4;30;27;34;64;31
53;38;10;12;7;51;99;13;45;39;4;11;1;6;24;22;4;12
56;50;70;4;17;18;86;24;82;78;28;14;29;35;41;55;78;52
16;9;9;11;7;12;28;74;42;10;22;44;30;4;9;53;20;92
38;7;0;9;0;31;25;59;9;2;7;31;8;0;12;23;2;24
86;42;42;19;10;22;78;12;47;40;38;11;19;22;44;22;29;16
6;35;6;7;1;1;23;2;84;34;34;22;0;14;11;8;6;71
39;5;68;1;23;3;33;12;1;43;0;0;7;75;12;9;13;0
60;54;70;9;13;6;113;51;80;128;3;54;34;5;3;67;59;90
1;30;6;93;73;26;2;2;19;8;25;18;6;63;16;6;2;1
8;34;29;66;67;30;18;37;42;42;103;60;65;83;49;25;37;31
5;35;3;171;8;25;6;14;12;4;78;76;5;17;19;20;9;50
2;67;30;4;8;0;8;0;80;78;1;14;2;7;2;1;5;8
17;45;11;22;29;9;17;6;64;18;38;41;21;15;8;22;30;86
19;8;15;30;23;68;17;67;5;15;11;21;52;11;40;42;39;11
8;24;16;26;5;4;18;3;40;33;45;17;3;52;10;7;10;23
