10000100;00100100;00101000;00100010;01000100;01001000;10001000;01000010;10000010;00010100;10000001;00100001;01000001;00011000;00010010;00010001
83;85;73;34;10;14;9;9;5;33;6;7;1;4;15;4
9;24;38;9;30;88;39;24;8;87;3;5;11;92;20;13
79;64;38;26;23;23;69;8;34;167;39;26;19;92;63;120
122;85;17;13;19;3;24;11;25;109;25;7;5;16;22;11
2;9;11;34;27;21;7;41;13;1;17;132;197;3;15;37
55;68;71;50;12;16;45;9;13;26;2;10;3;62;29;5
69;55;15;33;51;12;25;46;74;45;36;18;26;10;29;8
49;24;57;30;51;63;75;128;108;23;162;66;147;14;43;114
85;5;10;15;16;27;31;11;9;46;67;103;77;37;19;66
3;31;94;50;16;44;17;81;13;22;5;34;40;94;37;17
36;24;91;90;30;113;104;59;45;1;52;58;51;13;11;11
39;81;12;28;248;61;21;38;9;41;24;8;57;20;16;16
19;2;33;14;31;115;136;124;31;9;22;3;36;101;38;3
10;15;29;13;17;46;17;60;19;10;62;49;106;37;6;16
80;31;6;9;127;35;16;24;20;65;46;16;31;11;24;17
14;43;70;41;9;11;35;23;48;16;12;17;4;23;30;12
34;11;3;3;11;2;23;12;39;55;130;15;29;45;67;130
6;7;34;35;1;29;89;36;41;5;23;21;16;23;23;14
114;14;8;0;53;23;77;11;24;19;46;11;28;14;10;37
4;18;60;46;19;27;2;9;0;26;40;117;174;17;29;119
26;34;63;16;13;25;33;24;51;9;7;4;10;22;10;1
10;16;4;24;3;0;8;0;21;69;10;33;1;7;49;79
11;3;7;4;3;4;21;9;23;4;109;8;12;17;26;36
76;48;61;90;23;60;94;140;145;18;107;31;20;30;18;25
65;14;63;65;35;13;62;17;73;21;46;23;34;15;8;25
17;26;7;35;7;1;4;2;21;12;4;9;4;5;9;3
27;8;14;4;4;7;34;1;13;8;50;4;8;17;5;10
54;0;8;2;15;2;22;0;8;28;34;8;19;16;0;15
21;11;6;15;9;47;9;33;47;12;22;3;16;6;10;17
50;13;10;5;121;65;16;30;2;14;72;19;185;7;3;40
12;12;12;103;4;34;48;150;136;7;13;18;20;25;45;23
23;17;40;10;7;16;28;8;26;16;38;8;9;7;12;21
44;47;33;17;85;38;7;30;5;141;2;7;13;39;65;10
65;78;28;71;59;9;7;22;39;68;22;31;16;15;42;7
14;70;24;11;11;25;8;6;9;47;44;73;55;57;18;90
40;23;14;7;99;97;24;40;32;6;24;21;57;20;18;25
17;119;59;4;54;39;53;5;20;211;7;9;7;148;22;38
6;45;92;30;12;46;67;5;5;13;21;60;40;49;3;76
33;13;15;72;27;19;17;25;165;76;51;17;37;60;136;78
60;13;13;16;5;5;55;23;85;21;73;21;19;20;31;27
8;11;2;5;25;3;4;2;7;88;7;5;7;26;14;25
96;58;29;30;83;69;31;30;23;52;18;20;25;10;7;17
11;27;36;20;17;17;6;3;6;119;8;24;16;68;28;90
246;134;29;23;60;13;54;17;35;114;67;22;6;22;11;19
1;4;20;9;22;14;33;14;5;8;13;7;15;9;4;4
45;12;60;11;10;60;165;4;14;5;32;31;2;89;2;18
13;35;4;56;19;6;1;23;14;5;13;58;14;5;15;16
7;14;18;94;27;33;5;54;44;0;58;58;52;10;7;26
6;81;158;150;37;82;15;75;8;23;5;84;49;116;81;22
54;23;92;19;64;40;91;9;29;40;15;18;24;81;25;57
12;7;7;60;8;5;3;23;51;1;27;37;26;2;21;12
59;60;54;25;12;8;46;18;14;44;19;10;8;72;23;10
65;45;28;5;27;9;19;6;5;172;2;7;10;73;34;119
50;12;36;8;32;61;223;5;29;52;51;3;30;230;42;32
11;93;11;38;99;25;6;28;7;54;6;17;12;8;7;14
4;0;15;21;28;37;13;59;8;6;9;18;23;4;25;4
13;47;32;20;13;6;7;10;25;47;4;24;2;53;34;36
39;43;7;45;66;2;6;42;66;54;1;3;3;2;29;7
89;10;8;7;16;22;181;21;74;107;151;20;45;38;36;74
15;53;133;44;52;40;6;15;5;18;25;51;48;28;10;17
38;49;16;109;23;4;8;29;175;15;44;70;16;5;11;12
13;24;82;52;21;37;7;87;32;25;4;7;11;82;76;15
8;42;35;120;22;7;9;56;144;12;13;23;19;4;97;13
52;67;56;87;46;24;36;26;31;88;56;108;70;102;127;118
22;33;89;29;48;111;43;58;16;41;36;88;40;130;51;86
21;27;27;13;11;11;29;4;14;73;44;86;77;52;30;262
34;1;0;7;22;11;6;32;73;1;44;20;51;1;5;5
40;68;4;9;55;11;6;33;20;113;3;25;21;3;26;29
3;0;0;9;3;4;7;33;23;3;55;23;70;12;25;59
6;22;1;16;38;3;3;57;9;37;9;1;28;8;26;41
93;8;36;7;10;15;64;13;70;11;20;5;5;21;6;5
9;9;46;20;12;43;25;6;4;25;16;55;19;96;16;204
58;52;18;24;23;3;8;4;39;9;62;47;28;0;5;15
67;27;8;20;73;19;33;45;27;72;23;4;12;35;29;10
26;35;11;9;25;8;12;7;12;46;29;31;13;16;25;160
8;27;67;30;9;21;69;5;20;7;49;53;10;21;13;14
16;25;12;4;38;20;14;14;10;68;13;21;20;45;29;50
9;9;5;5;21;12;14;8;8;30;9;6;20;34;12;59
59;34;22;64;40;12;16;42;28;24;57;74;47;10;29;57
29;14;1;10;7;19;21;20;24;25;126;123;133;26;9;61
8;6;11;26;1;0;8;13;67;12;101;59;37;11;30;82
2;19;100;69;2;13;9;19;21;4;9;84;8;3;9;18
115;21;29;5;32;21;176;3;41;103;26;3;9;86;16;5
43;114;33;22;29;23;96;7;20;32;38;55;31;28;20;25
15;53;112;15;11;25;34;7;32;18;19;16;4;42;7;11
30;6;3;22;42;11;4;60;31;6;56;17;40;1;11;20
18;53;16;13;9;9;4;5;9;56;85;29;46;17;19;133
18;25;16;25;22;13;20;17;24;12;4;3;7;27;33;1
