101001;101010;100101;011001;100110;011010;010101;010110
521;152;257;141;78;42;18;3
46;497;14;19;72;211;15;78
191;106;37;421;19;177;127;63
25;96;44;49;120;148;113;163
151;39;81;543;5;92;297;23
42;108;56;12;99;134;20;97
156;176;202;51;153;44;57;41
179;93;247;142;168;51;220;133
74;63;169;74;228;82;152;289
29;46;20;317;113;357;54;212
65;170;54;187;176;535;23;126
36;246;26;20;211;100;39;121
20;107;35;40;135;98;98;308
115;218;33;139;128;287;67;134
40;90;93;36;150;86;73;159
107;62;279;97;144;101;111;125
99;55;19;183;30;177;26;93
123;36;38;272;13;82;152;60
296;109;147;246;14;56;146;7
29;74;38;36;52;179;37;73
274;187;183;105;194;116;41;63
28;119;87;38;273;122;129;360
187;213;133;177;101;179;69;40
303;9;94;481;3;15;144;9
62;19;451;68;118;46;110;121
74;212;62;97;242;185;66;233
126;86;149;63;88;83;58;52
13;152;19;12;194;240;22;384
194;517;58;49;106;199;30;83
74;328;60;35;33;197;75;37
125;537;42;211;82;280;82;71
50;9;236;145;16;49;712;118
97;19;366;188;88;10;388;53
18;245;7;34;122;158;29;168
77;110;88;91;122;92;48;60
30;137;88;21;182;236;135;532
173;85;131;110;102;112;53;89
259;221;228;114;102;137;138;88
61;38;119;54;37;42;187;62
81;271;70;241;86;375;116;62
45;165;128;106;197;205;198;209
19;57;49;64;198;111;127;268
9;77;31;73;221;291;109;366
25;76;10;171;49;764;44;196
68;79;18;203;16;297;173;136
9;23;71;51;158;106;170;461
303;292;60;111;36;100;38;18
24;103;52;39;176;123;55;104
76;71;197;39;279;60;200;450
40;59;163;77;53;86;187;61
248;131;142;169;35;54;154;19
424;212;109;85;44;75;52;35
175;195;52;211;77;83;78;55
94;70;248;60;473;53;41;172
178;32;155;298;13;63;196;34
334;129;146;41;63;20;118;53
157;20;315;341;50;18;500;38
89;69;109;162;67;61;157;44
746;143;259;135;35;24;25;8
165;208;83;51;122;120;29;90
254;59;94;569;9;81;226;39
28;27;89;95;57;83;290;315
86;90;71;20;272;52;49;225
138;266;121;21;295;84;27;152
227;72;305;184;137;26;118;20
70;10;229;132;66;46;168;140
358;37;132;267;27;49;133;47
182;18;119;597;21;64;173;41
169;298;110;58;139;79;49;32
226;19;75;809;13;125;165;49
24;156;33;41;468;143;67;363
87;144;11;172;58;311;18;93
259;399;174;42;276;39;20;27
191;103;48;138;22;66;109;61
158;45;102;288;8;72;255;19
51;44;385;34;180;41;145;117
45;98;21;91;124;232;67;189
75;88;42;176;39;38;100;22
108;29;96;132;26;21;70;17
308;151;130;46;292;47;20;104
22;36;83;29;71;40;145;40
62;9;247;130;15;66;595;199
291;142;209;77;201;22;103;52
218;178;49;139;100;64;17;30
166;219;56;168;99;306;45;147
538;90;56;208;22;83;94;61
171;22;126;209;27;65;200;110
129;193;33;67;26;193;14;39
111;313;60;60;110;209;52;69
110;108;45;148;29;135;92;54
31;395;12;28;188;156;72;261
71;31;69;222;93;74;82;73
57;186;22;22;217;83;21;216
133;69;70;188;54;45;107;35
135;143;192;28;433;10;103;94
64;190;157;25;175;115;63;90
61;438;34;68;42;246;39;30
250;42;112;242;21;88;32;29
225;40;144;168;39;57;148;37
27;82;25;74;82;86;105;177
46;48;199;122;116;56;255;108
51;162;33;60;192;114;17;73
169;87;20;156;55;121;61;175
124;43;109;42;25;24;83;35
30;68;21;27;54;227;28;174
111;24;87;370;20;62;267;52
142;49;200;156;73;52;109;43
152;71;103;195;58;139;64;57
35;203;71;25;204;186;40;109
55;148;73;125;63;410;52;48
258;85;57;177;13;72;68;17
350;141;59;239;24;116;82;65
262;104;327;42;85;18;81;17
