q0p0;q0p1;q1p0;q1p1;q2p0;q2p1;q3p0;q3p1;s[0, 2];s[0, 3];s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[1, 2];s[1, 3];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[3, 4];s[3, 5];s[3, 6];s[3, 7];s[4, 6];s[4, 7];s[5, 6];s[5, 7];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15;cost_ranking 16;cost_ranking 17;cost_ranking 18;cost_ranking 19;cost_ranking 20;cost_ranking 21;cost_ranking 22;cost_ranking 23
14;40;16;39;49;32;0;3;-3;-6;-19;-15;-19;-5;-7;-20;-11;0;-14;-3;-2;-19;-6;-6;-16;-15;-7;-19;-10;-15;-2;-8;-2;9;20;20;21;25;25;32;40;47;48;49;50;53;55;64
12;37;21;7;14;46;15;16;-4;-16;-5;-20;-15;-10;-3;-11;-13;0;-4;-16;-10;-9;-4;-8;-16;-20;-4;-10;-12;-3;-4;-1;-20;-11;1;4;5;12;13;23;35;38;41;43;48;62;83;95
39;38;20;31;8;41;45;37;-14;-13;-19;-6;0;-19;-1;-16;-15;-6;-5;-16;-20;-6;-2;-19;-11;-15;-14;-19;-1;-3;-18;-15;10;29;31;34;56;58;60;60;61;65;67;73;81;90;99;106
30;22;47;19;35;19;40;1;-2;-1;-2;-5;-4;-19;-8;-7;-11;-13;-3;-20;-20;-8;-11;-4;-10;-5;-3;-14;-4;-13;-14;-3;-1;2;22;26;29;33;53;55;56;71;76;78;87;92;100;109
45;46;47;14;20;39;27;0;-11;-15;-10;-14;-13;-7;-2;-4;-14;-7;-18;-3;-12;-14;-12;-19;-16;-16;-9;-17;-11;-8;-12;-13;6;16;18;32;35;39;45;46;53;55;60;70;71;74;82;94
49;49;38;14;7;16;9;48;-18;-15;-20;-7;-8;-9;-18;-8;-8;-8;-15;-13;-7;-12;-20;-11;-13;-6;-20;-3;-15;-7;-18;-15;-12;0;13;14;15;20;21;29;51;66;70;72;74;74;78;79
8;18;49;22;31;1;38;28;-10;-10;-12;-6;-17;-8;-3;0;-15;-6;-9;-16;-2;-10;-4;-18;-10;-15;-11;-6;0;0;-16;-5;-6;9;21;22;29;33;38;39;43;52;58;64;66;72;81;103
4;31;13;9;49;47;38;37;0;-9;-9;-5;-1;-3;-15;-7;-6;-8;-1;-3;-14;-14;-4;-20;-4;-7;-17;-2;-8;-3;-9;-12;47;50;52;54;56;59;68;69;69;69;76;78;83;84;85;101
7;18;4;29;18;12;47;24;-3;-7;-9;-6;-2;-14;0;-16;-7;-13;-6;-17;-16;-15;-3;-13;-4;-6;-15;-14;-1;-18;-7;-20;-24;-20;-20;-7;-3;5;12;13;34;37;42;43;52;54;63;63
47;23;34;35;25;49;2;19;0;-20;-20;-16;-3;-6;-15;-6;-9;-7;-17;-16;-9;-6;-15;-10;-13;-17;-11;-20;-8;-10;-13;-14;11;21;28;32;34;35;37;38;46;53;53;57;57;70;79;97
18;1;34;39;38;49;13;0;-7;-8;-4;-17;-11;-4;-8;-14;-5;-6;0;-5;-2;-3;-1;-15;-20;0;-17;-9;-17;-3;-2;-14;18;22;31;33;35;41;41;47;53;54;55;61;63;64;73;77
17;37;1;30;8;21;8;15;-6;-5;-6;-7;-6;-18;0;-1;-20;-14;-8;-7;-19;-15;-16;-10;-15;-8;-15;-3;-3;-4;-10;-14;-22;-22;-16;-13;-12;1;4;13;14;19;21;25;28;40;40;56
15;24;48;15;10;47;3;31;-6;-18;-20;-8;-16;-2;-15;-13;-1;-11;-18;-2;-3;-19;-20;-2;-6;-8;-10;-6;-2;-3;-2;0;-29;2;9;16;18;26;27;37;42;49;66;68;77;87;101;104
7;33;39;25;18;14;21;5;-11;0;-20;-18;-8;-19;-12;-17;-10;-17;-6;-20;-8;-9;-18;-4;-1;-11;-2;-14;-20;-3;0;-7;-18;-9;-3;-2;0;4;16;17;20;22;28;37;38;40;41;45
1;20;13;48;19;28;15;19;-16;-1;-1;-11;-5;-13;-8;-14;-12;-7;-18;0;-19;0;-15;-16;-4;-19;-10;-19;-8;-16;-19;-18;-29;-16;-13;-13;-9;0;9;15;24;27;31;33;36;38;41;54
43;9;18;42;14;31;36;48;-18;-14;-9;-12;-14;-20;-19;-15;-11;-15;-20;-1;-6;-4;-8;-17;-6;-13;-6;-9;-14;-12;-7;-2;-1;21;23;29;41;42;42;48;59;65;67;72;75;77;86;94
33;9;28;18;36;23;25;39;-18;-2;-4;-18;-15;-3;-6;-1;-16;-1;-17;-15;-11;-3;-20;0;-20;-17;-8;-7;-8;-11;-10;-12;18;20;21;25;28;29;32;36;46;53;54;55;62;69;79;89
38;37;38;28;10;35;37;31;-14;-19;-2;-16;-2;-3;-10;-14;-7;-10;-14;-1;-12;-10;-1;-8;-11;-16;-15;-4;-9;0;-5;-1;42;55;63;65;68;69;69;73;78;78;83;85;90;97;100;101
45;37;41;7;35;39;48;2;-18;-8;-8;-14;-15;-8;-17;-2;-16;-10;-9;-5;-3;0;-6;-7;-9;-3;-18;-9;-19;0;-14;-1;40;47;50;54;55;58;67;67;75;79;79;79;91;100;106;109
37;12;20;14;17;32;17;5;-15;-17;-14;-6;-6;-9;-11;-15;-14;-14;-13;-1;-10;-8;-4;-9;-15;-1;-6;-14;-5;-5;-8;-4;-16;-8;-1;4;9;14;17;18;22;22;23;37;37;43;56;59
36;1;40;37;47;44;45;48;-1;-6;-20;-19;-18;-1;-14;-16;-7;-14;-16;-20;-18;-6;-11;-16;-1;0;-5;-18;-20;-3;-16;-17;45;46;47;53;58;60;65;68;80;94;95;98;104;108;112;119
24;11;35;36;16;3;35;28;-9;-13;-17;-18;-18;-6;-18;-2;-9;-6;-16;-4;-6;-16;-16;-11;-18;-11;-8;-1;-16;-4;-12;-10;0;8;12;16;18;20;21;28;29;30;32;38;44;45;50;53
33;7;14;42;34;29;38;9;-8;-15;-12;-19;-14;-9;0;-4;-5;-15;-1;0;-12;-18;-14;-17;-10;-19;-5;-1;-12;-1;-16;-9;0;5;24;25;29;31;39;41;47;49;54;56;70;71;79;84
19;26;40;11;3;5;2;3;-16;-19;-15;-19;-5;-18;-5;-10;-20;-9;-16;-9;-13;-3;0;-13;-5;-4;-9;-8;-6;-6;-2;-17;-47;-35;-24;-24;-21;-19;-16;-15;-12;-6;6;9;11;18;21;38
39;41;9;33;41;49;7;4;-17;-2;-16;-10;-1;-12;-10;-5;-12;-7;-16;-8;-6;-15;-3;-10;-8;-2;-10;-2;0;-13;-1;-6;19;31;36;47;51;53;54;57;64;71;71;83;89;91;97;102
39;49;30;28;0;11;14;1;-18;-5;-7;-20;-15;-10;0;-10;-17;-2;-1;-16;-7;-9;-5;-17;-19;-2;-5;-20;-3;-4;-4;-13;-8;-6;3;7;9;19;23;26;27;28;34;36;41;60;78;83
47;5;11;6;31;43;9;3;-13;-18;-16;-3;-20;-2;-4;-18;-5;-13;-10;-8;-9;-20;-18;-8;-10;-8;-9;-3;-12;-6;-10;-7;-13;-7;-5;-5;-2;0;2;8;10;10;26;32;37;38;51;58
21;16;24;13;46;46;44;5;-20;-4;-3;-17;-4;-7;-6;-11;-7;-18;-3;-17;-4;-11;-6;0;-4;-2;-1;-17;-9;-17;-17;-17;-2;7;21;22;24;33;40;45;60;67;69;79;84;89;95;99
30;29;17;49;3;32;39;3;-7;-4;-5;0;-19;-5;-1;-11;-6;-16;-15;-10;-10;-4;-13;-5;-6;-18;-13;-18;-8;-2;-5;-19;18;19;21;26;27;31;35;42;45;50;61;63;66;70;71;91
21;25;9;7;44;32;16;47;-18;-11;-4;-20;-19;-2;-8;-14;-2;-18;-1;-10;-2;-8;-6;-4;-18;-9;-1;-9;-2;-16;-6;0;1;10;31;33;35;39;51;54;54;56;57;59;65;73;75;83
13;42;47;2;13;41;14;20;-3;0;-7;-20;-13;-1;-8;-16;-8;-15;-17;-11;-10;-8;-3;-5;-5;-17;-10;-6;0;-15;-7;-11;3;7;14;15;16;17;21;29;51;52;61;65;70;73;86;92
12;25;4;5;25;35;14;24;-19;-1;-13;-13;-5;-5;-17;-17;-1;-15;-19;-12;-11;-2;-9;-18;-13;-11;-20;-19;-16;-6;-6;-18;-18;-17;-12;-9;-7;-5;-3;0;6;9;9;10;10;11;11;13
11;12;4;24;9;46;1;24;-8;-2;-7;-16;-20;-1;-1;-4;-8;-16;0;-14;-1;-12;-9;-20;-19;-4;-3;-19;-15;-7;-9;-18;-35;-21;-12;-8;-3;-2;-2;4;5;10;13;16;28;31;45;47
10;29;43;8;3;35;7;28;-20;-1;-13;-5;-5;-13;-13;-20;-9;-3;-17;-6;-13;-20;-3;-15;-2;-18;-20;-11;-9;-11;0;-4;-30;-22;-2;-1;0;1;9;11;18;29;36;38;39;42;58;74
31;19;12;27;28;37;12;24;-1;-14;-15;-20;0;-1;-1;-12;-20;-1;-12;-13;-7;-16;-5;-13;-2;-2;-5;-4;-4;-5;-14;-5;22;24;31;31;36;42;43;48;49;51;52;53;58;69;70;73
49;49;35;6;41;12;37;28;-8;-17;-7;-17;-4;-16;-16;-15;-4;-19;-1;-3;-18;-1;-16;-8;-20;-11;-6;-17;-9;-8;-18;-9;8;21;31;34;39;57;62;65;68;69;70;78;88;96;98;100
32;4;0;24;11;17;10;29;-7;-14;-12;-12;-15;-6;-13;0;-2;-7;-20;-18;-12;-17;-4;-7;-17;-5;-20;-12;-13;-10;-1;-2;-39;-31;-23;-18;-14;-14;-10;2;3;9;16;18;25;27;30;51
