device,dataset,dataset_id,circuit,optimizer,score
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,21,q_circuit_01,COBYLA,0.6
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.55
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.65
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.55
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.65
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.65
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.6
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.65
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.6
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.6
quantum computer,adhoc,21,q_circuit_01,COBYLA,0.6
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.65
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.65
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.65
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.65
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.7
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.6
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.75
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.65
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.7
quantum simulator,adhoc,29,q_circuit_01,SPSA,0.65
quantum computer,adhoc,29,q_circuit_01,SPSA,0.6
quantum computer,adhoc,29,q_circuit_01,SPSA,0.6
quantum computer,adhoc,29,q_circuit_01,SPSA,0.65
quantum computer,adhoc,29,q_circuit_01,SPSA,0.55
quantum computer,adhoc,29,q_circuit_01,SPSA,0.7
quantum computer,adhoc,29,q_circuit_01,SPSA,0.65
quantum computer,adhoc,29,q_circuit_01,SPSA,0.75
quantum computer,adhoc,29,q_circuit_01,SPSA,0.6
quantum computer,adhoc,29,q_circuit_01,SPSA,0.7
quantum computer,adhoc,29,q_circuit_01,SPSA,0.65
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.75
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.7
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.6
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum simulator,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum computer,adhoc,29,q_circuit_01,AMSGRAD,0.65
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.7
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.7
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.75
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.75
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.7
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.65
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.75
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.7
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.75
quantum simulator,adhoc,29,q_circuit_01,BFGS,0.75
quantum computer,adhoc,29,q_circuit_01,BFGS,0.7
quantum computer,adhoc,29,q_circuit_01,BFGS,0.7
quantum computer,adhoc,29,q_circuit_01,BFGS,0.7
quantum computer,adhoc,29,q_circuit_01,BFGS,0.65
quantum computer,adhoc,29,q_circuit_01,BFGS,0.7
quantum computer,adhoc,29,q_circuit_01,BFGS,0.75
quantum computer,adhoc,29,q_circuit_01,BFGS,0.75
quantum computer,adhoc,29,q_circuit_01,BFGS,0.75
quantum computer,adhoc,29,q_circuit_01,BFGS,0.75
quantum computer,adhoc,29,q_circuit_01,BFGS,0.7
quantum simulator,adhoc,29,q_circuit_02,COBYLA,0.7
quantum simulator,adhoc,29,q_circuit_02,COBYLA,0.7
