0101010;1001010;0101001;1000110;1001001;0110010;0110001;0100110;1010010;1000101;0100101;1010001
184;59;113;13;15;90;99;44;15;9;37;10
119;69;233;17;65;42;138;46;21;16;120;23
28;31;48;49;81;15;18;43;2;95;32;16
123;22;108;34;31;54;50;159;14;47;86;15
36;17;55;26;32;36;57;47;14;18;25;14
31;24;58;31;36;19;56;46;27;31;77;45
14;85;15;71;118;23;7;34;35;71;26;47
99;20;22;61;11;129;24;107;32;18;16;11
29;122;54;269;108;11;26;62;111;58;51;40
19;106;152;30;263;8;98;5;57;40;101;97
2;16;53;69;120;7;34;32;32;210;95;135
30;23;15;92;12;35;30;138;29;44;80;19
102;97;39;107;115;48;9;275;17;28;37;5
96;68;95;12;62;73;61;10;22;22;35;27
88;43;7;28;16;44;1;117;46;23;23;21
50;30;21;51;19;179;91;147;129;26;56;82
12;51;9;304;16;9;5;81;27;71;17;22
32;81;3;34;41;80;29;101;28;11;37;17
19;15;10;49;23;32;14;79;20;98;55;84
73;10;41;13;27;63;59;65;15;17;15;40
77;17;196;20;20;21;116;67;6;40;224;51
42;20;4;47;2;190;35;72;215;5;19;27
97;71;21;23;11;91;39;34;44;5;13;9
30;55;33;74;26;9;35;21;40;79;43;40
73;134;68;16;80;20;13;7;117;18;8;78
27;11;48;19;12;60;147;52;19;15;50;33
52;51;51;74;35;27;21;42;39;20;13;16
82;41;89;6;136;10;41;30;10;71;110;47
67;23;156;9;30;4;50;15;8;4;35;18
36;26;77;23;63;48;181;79;21;100;156;99
31;23;42;6;35;159;149;27;40;12;21;50
44;25;120;15;68;18;44;41;12;88;338;20
56;224;31;117;77;8;7;12;33;96;15;10
348;121;54;38;12;84;15;147;26;10;62;2
12;54;35;33;83;13;44;8;24;50;32;57
130;83;16;45;10;113;9;42;89;4;4;12
126;75;54;59;28;175;110;218;60;15;56;28
4;17;16;150;30;12;26;45;44;134;51;89
18;5;10;28;24;31;56;47;10;54;42;51
7;20;10;17;23;2;11;15;14;76;65;24
90;21;91;20;50;139;100;48;84;19;30;84
32;77;20;143;29;11;5;57;85;45;19;32
75;173;21;61;40;9;7;57;15;34;35;8
40;2;52;64;7;65;43;278;5;38;134;15
102;50;72;19;15;115;129;159;28;4;93;9
47;63;90;6;78;18;39;10;37;5;19;23
34;14;55;33;16;59;117;126;27;43;240;39
23;9;48;15;10;28;48;64;15;15;80;12
38;15;112;3;82;125;106;6;29;21;13;83
232;155;22;54;26;61;27;20;50;5;2;25
92;34;32;113;18;107;45;150;91;62;62;73
69;113;34;116;48;110;40;221;101;54;129;29
36;53;167;39;74;16;80;18;105;60;62;197
41;14;47;38;7;50;72;205;17;3;225;15
212;65;146;24;58;16;15;57;14;29;63;14
76;71;44;58;15;127;42;65;52;2;19;7
44;79;21;73;68;33;19;46;8;66;26;21
22;59;9;199;13;78;17;126;93;84;17;40
4;24;16;38;10;115;89;43;279;7;34;117
32;37;40;17;38;33;23;20;65;10;23;34
110;56;42;37;5;406;43;54;147;9;18;2
10;12;39;35;66;10;42;37;18;281;149;72
43;57;21;77;147;13;34;37;32;253;46;116
86;73;40;20;29;32;23;39;24;5;9;25
7;18;16;6;18;14;130;6;24;16;31;58
29;19;32;37;48;16;16;10;26;122;22;48
49;7;106;8;21;94;134;32;18;24;46;38
177;49;38;54;12;102;14;159;47;43;45;8
10;50;40;32;73;23;19;14;27;28;36;13
12;27;45;47;41;2;25;36;10;22;92;31
72;32;100;67;21;121;215;27;63;76;60;55
47;124;15;57;73;48;27;34;199;24;9;137
10;32;22;27;23;13;41;21;21;11;40;53
23;75;37;129;26;1;14;37;26;7;12;34
38;50;93;45;98;54;71;32;34;99;68;49
106;67;8;64;7;154;3;78;193;13;8;26
81;33;12;66;9;44;14;109;20;38;17;21
80;77;6;184;19;9;2;95;22;80;13;11
10;62;14;124;77;5;9;9;42;180;50;32
21;9;72;2;66;6;54;3;10;8;7;57
13;21;73;8;51;59;234;46;34;12;31;112
7;7;9;21;48;26;28;22;31;105;28;57
7;9;13;26;11;187;46;98;74;9;38;10
