q0p0;q0p1;q1p0;q1p1;q1p2;q2p0;q2p1;s[0, 2];s[0, 3];s[0, 4];s[0, 5];s[0, 6];s[1, 2];s[1, 3];s[1, 4];s[1, 5];s[1, 6];s[2, 5];s[2, 6];s[3, 5];s[3, 6];s[4, 5];s[4, 6];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15
43;20;42;13;49;27;38;-8;-6;-19;-19;-18;-14;-3;-2;-5;-10;-4;-10;-14;-4;-20;-11;38;44;54;61;66;66;66;69;81;82;84;87
24;2;27;20;47;37;23;-9;-19;-17;-12;-3;0;-11;-15;0;-13;-8;-20;-14;-16;-7;-18;5;19;26;29;34;36;42;56;58;59;64;72
18;15;24;9;4;42;26;0;-14;-18;-11;-17;-15;-18;-16;-18;-16;-6;-16;-2;-18;-14;-14;-2;-1;-1;4;13;18;21;28;35;42;42;67
35;10;49;29;35;32;25;-15;-10;-19;-9;-7;-4;-4;-12;-20;-4;-10;-16;-9;-16;-17;-14;28;38;40;40;55;56;57;57;60;68;71;82
49;14;17;19;5;30;16;-2;-15;-9;-15;-1;-19;-20;-8;-17;-9;-3;-12;-4;-16;-9;-9;4;7;9;15;22;22;51;51;52;64;67;76
39;30;10;24;2;23;11;-7;-20;-2;-1;-2;-4;-15;-9;0;-4;-12;-18;-1;-10;-16;-19;11;25;29;30;33;36;42;45;47;52;61;64
21;43;44;25;36;31;33;-7;-11;-8;-9;-14;-16;-2;-17;-8;-9;-13;-19;-6;-14;0;-1;40;51;58;67;67;71;76;76;81;83;85;85
29;13;0;18;8;12;45;-2;-4;-17;-8;-18;-4;-8;-3;-17;-12;-14;-11;-2;-7;-9;-11;-10;4;15;16;17;31;36;40;43;45;49;63
3;20;32;19;20;25;32;-7;-4;-9;-16;-7;-6;-7;-16;-5;-20;-17;-10;-6;-18;-19;-4;4;20;21;25;25;26;32;35;43;46;48;49
5;18;22;17;31;30;3;-4;-18;-5;-18;-1;0;-5;-7;-13;-19;-11;-6;-18;-12;-15;-11;-6;-2;2;15;18;19;22;24;28;29;44;46
3;31;31;28;8;48;19;-15;-7;-9;-17;-17;-3;-4;-13;-12;-17;-19;-5;-6;-18;-19;0;4;8;14;16;28;31;39;43;49;56;76;85
36;35;13;34;0;36;47;-2;-10;-17;-20;-17;-1;-9;-17;-1;-3;-10;-12;-9;0;-15;-11;20;38;38;51;53;65;67;72;79;86;90;104
5;0;34;15;11;3;24;0;-20;-9;-5;-18;-3;-4;-13;-17;-16;-10;-9;0;-8;-20;-7;-36;-15;-3;-2;-2;-1;6;7;11;27;30;36
26;1;8;6;24;5;7;0;-10;-6;-4;-13;-17;-19;-11;-13;-17;-17;-7;-11;-3;-12;-15;-33;-31;-25;-25;-11;-6;12;13;18;21;23;33
46;49;36;27;20;16;41;-18;-8;-5;-5;-15;-1;-1;-18;-20;-4;-12;-14;-6;-9;-3;-19;44;63;65;68;68;69;69;70;76;82;103;107
