F0,F1,Class
-4.495510485459967,-5.595513490358062,0.0
-2.1308266022576507,-6.2907762533251175,0.0
0.8901783012371287,7.601388388722027,1.0
-3.4519463898472575,9.168907886096584,1.0
-0.6618715558795474,8.842003387492625,1.0
-3.5608235299284723,-6.368121392720481,0.0
-1.0576372837087815,9.857562642134653,1.0
-0.9963259419025009,6.893298162196196,1.0
-3.6639125141723223,-8.062355365307669,0.0
-1.603737785591027,-6.2542089847238325,0.0
-2.4702310073243723,10.108209793907545,1.0
-1.0073105304438412,8.62213177936739,1.0
-2.6403135832930174,8.376686446957391,1.0
-3.0689772466509204,-8.114724067172414,0.0
-1.438862371788455,9.278846673906834,1.0
-1.4091810918665486,-8.196703805765583,0.0
-1.5168582372346437,8.856272992363374,1.0
-2.9766278292927857,-6.927204506276282,0.0
-1.0740697037472922,9.414636845770133,1.0
-1.0629300945987514,9.362704349499575,1.0
-3.9556465058878287,-9.731762557702579,0.0
-2.640683385483813,8.529101341903575,1.0
-3.7507561012914006,-7.258946185678413,0.0
-1.6952675995503435,8.30482963542822,1.0
-4.3707328493691655,-7.785528786733787,0.0
-0.27866429462967435,7.670686816727538,1.0
-3.4214023436731096,-7.361712292661459,0.0
-4.818536325020068,-6.996278303680459,0.0
-2.6871283945962166,-7.127890684762649,0.0
-1.040170745888109,9.177190428018879,1.0
-4.002728372395918,-7.957118703955848,0.0
-0.9663275040155646,-7.001597465154159,0.0
-3.2466381316315758,-6.118428741453394,0.0
-3.7227677667130687,-8.07582065629403,0.0
-0.9666088975851147,10.290348837613754,1.0
-4.31198434610939,-8.314340079775697,0.0
2.0709917438904615,10.48039617398163,1.0
-2.2180539390544585,9.560858099598176,1.0
-2.972869057044111,9.9919211579975,1.0
0.2604916198498082,8.172248435861373,1.0
-2.586171386427927,8.944670509415872,1.0
-0.6178940676723048,9.040596497838667,1.0
-0.04620708878211954,8.326862222947039,1.0
-2.6457291589440644,-8.425451879910657,0.0
-2.1778047614450995,-6.753787189358082,0.0
-0.7189160463497024,10.141022443847794,1.0
-3.1009381597817494,-6.500828713268064,0.0
-0.8425057540325397,9.095970050852006,1.0
