1010;1001;0110;0101
90;113;14;45
97;109;26;21
29;43;54;54
32;76;51;125
29;56;76;75
14;50;27;97
49;39;22;45
136;75;32;35
16;30;59;108
18;26;68;129
45;23;189;39
51;52;24;32
15;71;18;81
15;55;33;86
48;33;105;70
23;28;76;107
35;19;184;54
18;83;23;55
41;21;84;60
101;9;142;51
35;30;43;25
33;26;134;42
128;41;58;4
15;91;37;97
54;10;142;62
108;32;95;11
76;149;12;28
16;37;34;142
33;39;50;94
41;104;55;55
32;38;147;67
15;133;10;76
147;34;47;11
37;50;12;56
19;27;78;104
61;50;53;32
42;12;102;94
22;44;56;44
50;19;94;37
63;12;171;34
155;24;60;15
48;24;64;60
8;82;40;132
27;62;27;69
139;29;56;54
25;95;47;122
12;124;18;119
20;67;55;68
13;70;21;61
13;54;81;78
