q0p0;q0p1;q0p2;q1p0;q1p1;q1p2;q2p0;q2p1;q2p2;s[0, 3];s[0, 4];s[0, 5];s[0, 6];s[0, 7];s[0, 8];s[1, 3];s[1, 4];s[1, 5];s[1, 6];s[1, 7];s[1, 8];s[2, 3];s[2, 4];s[2, 5];s[2, 6];s[2, 7];s[2, 8];s[3, 6];s[3, 7];s[3, 8];s[4, 6];s[4, 7];s[4, 8];s[5, 6];s[5, 7];s[5, 8];cost_ranking 0;cost_ranking 1;cost_ranking 2;cost_ranking 3;cost_ranking 4;cost_ranking 5;cost_ranking 6;cost_ranking 7;cost_ranking 8;cost_ranking 9;cost_ranking 10;cost_ranking 11;cost_ranking 12;cost_ranking 13;cost_ranking 14;cost_ranking 15;cost_ranking 16;cost_ranking 17;cost_ranking 18;cost_ranking 19;cost_ranking 20;cost_ranking 21;cost_ranking 22;cost_ranking 23;cost_ranking 24;cost_ranking 25;cost_ranking 26
12;20;36;10;39;42;36;30;12;4;41;52;39;29;22;14;44;43;38;31;24;41;57;74;61;60;34;27;28;10;60;60;36;71;65;45;4;10;14;22;24;27;28;29;31;34;36;38;39;41;41;43;44;45;52;57;60;60;60;61;65;71;74
30;8;49;45;13;1;25;3;14;66;41;19;37;16;41;51;14;-5;20;-5;15;94;51;41;55;48;56;55;36;52;20;9;26;26;-13;10;-13;-5;-5;9;10;14;15;16;19;20;20;26;26;36;37;41;41;41;48;51;51;52;55;55;56;66;94
1;42;44;23;16;2;29;24;36;15;1;-3;22;17;21;58;58;30;54;52;67;52;52;30;59;60;62;42;40;50;43;22;49;20;9;35;-3;1;9;15;17;20;21;22;22;30;30;35;40;42;43;49;50;52;52;52;54;58;58;59;60;62;67
37;7;47;42;49;37;21;18;40;71;72;64;49;53;58;41;56;27;9;18;29;86;76;66;55;45;80;50;50;78;69;61;81;48;45;61;9;18;27;29;41;45;45;48;49;50;50;53;55;56;58;61;61;64;66;69;71;72;76;78;80;81;86
46;19;4;39;14;27;37;19;47;66;55;61;77;45;80;38;17;27;36;25;50;43;14;19;40;22;35;65;53;67;46;13;55;49;27;55;13;14;17;19;22;25;27;27;35;36;38;40;43;45;46;49;50;53;55;55;55;61;65;66;67;77;80
29;42;3;30;28;44;40;4;9;52;54;67;68;33;31;71;66;80;78;29;43;25;12;34;34;-7;-4;54;26;39;62;22;25;74;37;48;-7;-4;12;22;25;25;26;29;31;33;34;34;37;39;43;48;52;54;54;62;66;67;68;71;74;78;80
37;36;11;47;19;35;38;44;29;79;50;72;71;61;53;64;37;52;54;77;46;55;21;27;32;45;20;78;83;71;55;44;37;63;75;44;20;21;27;32;37;37;44;44;45;46;50;52;53;54;55;55;61;63;64;71;71;72;75;77;78;79;83
44;19;23;24;44;47;15;41;3;49;81;88;50;75;43;35;50;63;15;43;19;31;53;55;34;47;26;37;58;14;45;79;30;55;88;46;14;15;19;26;30;31;34;35;37;43;43;45;46;47;49;50;50;53;55;55;58;63;75;79;81;88;88
24;34;5;21;40;38;24;40;36;26;49;53;33;46;52;41;55;63;45;59;54;25;38;26;28;33;41;26;50;39;59;74;57;47;61;60;25;26;26;26;28;33;33;38;39;41;41;45;46;47;49;50;52;53;54;55;57;59;59;60;61;63;74
6;15;36;15;3;7;30;9;43;11;0;4;17;11;47;18;13;19;38;6;55;45;22;25;59;40;73;25;5;51;25;8;38;28;13;46;0;4;5;6;8;11;11;13;13;17;18;19;22;25;25;25;28;38;38;40;45;46;47;51;55;59;73
36;39;6;21;22;37;34;33;24;40;52;65;70;60;43;57;44;56;66;53;45;24;23;29;39;27;21;49;54;31;43;55;37;54;57;46;21;23;24;27;29;31;37;39;40;43;43;44;45;46;49;52;53;54;54;55;56;57;57;60;65;66;70
25;30;40;46;9;5;9;20;15;68;18;28;33;43;30;59;34;34;38;49;32;79;43;41;39;54;55;54;53;46;-1;25;23;5;16;11;-1;5;11;16;18;23;25;28;30;32;33;34;34;38;39;41;43;43;46;49;53;54;54;55;59;68;79
33;30;42;47;47;16;17;25;47;60;71;30;47;43;77;57;61;45;27;43;60;69;87;51;48;55;89;55;68;92;45;55;81;30;41;46;27;30;30;41;43;43;45;45;46;47;48;51;55;55;55;57;60;60;61;68;69;71;77;81;87;89;92
5;25;26;34;1;28;0;30;44;22;-4;19;-9;33;45;43;9;40;17;35;60;44;8;40;25;48;55;25;45;73;-12;25;32;10;45;53;-12;-9;-4;8;9;10;17;19;22;25;25;25;32;33;35;40;40;43;44;45;45;45;48;53;55;60;73
26;36;4;26;23;49;4;29;44;42;49;66;16;38;55;45;40;74;33;53;76;27;19;47;-3;25;31;18;45;50;14;35;66;34;73;93;-3;14;16;18;19;25;27;31;33;34;35;38;40;42;45;45;47;49;50;53;55;66;66;73;74;76;93
