100100000;000100001;010100000;100000001;010000001;000100100;000100010;100000010;010000010;001000001;000010001;010000100;100000100;100010000;001100000;010001000;010010000;000001001;100001000;001010000;001000010;000010100;000010010;001000100;000001010;000001100;001001000
9;212;4;22;3;87;95;27;3;7;109;3;13;3;0;5;1;113;3;1;3;26;32;3;42;32;0
0;3;0;1;7;5;22;3;4;5;37;4;2;0;0;4;0;47;0;0;4;29;41;1;132;28;0
12;33;0;28;2;54;74;14;5;7;63;4;19;23;0;0;0;66;14;0;6;63;128;5;167;127;0
0;39;4;2;14;94;102;1;30;1;57;62;1;0;0;4;0;46;0;2;8;81;110;6;100;99;1
1;37;2;3;2;52;77;9;5;52;58;3;2;0;8;13;7;22;0;17;54;92;309;47;108;44;20
0;55;1;27;15;18;99;12;13;31;80;3;6;1;0;1;1;51;0;2;31;19;112;4;67;13;1
1;91;3;4;1;92;57;10;4;41;212;1;2;2;8;2;3;186;0;19;12;124;145;28;52;113;16
0;229;1;15;3;85;41;5;4;0;90;15;6;1;0;0;0;93;0;0;4;67;18;1;20;96;1
12;121;3;2;0;185;67;1;2;69;95;2;4;7;21;3;5;55;5;31;98;106;57;110;46;98;30
4;12;2;6;4;26;79;13;31;1;33;1;10;10;0;2;6;27;14;3;4;62;136;1;106;51;3
1;220;2;11;4;122;100;6;2;82;162;9;2;0;25;1;0;60;0;26;94;143;96;33;52;62;16
0;19;0;7;9;23;32;3;4;3;40;3;8;1;0;0;0;72;0;0;5;129;38;10;58;82;0
1;36;3;4;0;165;108;7;3;4;16;3;1;1;0;8;3;137;5;2;8;70;61;16;178;305;0
4;13;1;5;0;92;35;11;1;0;41;0;38;4;0;0;2;8;3;2;0;331;73;0;19;89;0
2;34;0;0;0;116;38;2;3;15;25;3;12;1;1;0;1;16;4;1;27;178;55;63;31;103;2
0;15;6;7;13;11;123;17;22;2;32;9;4;2;2;5;10;21;5;1;13;24;75;2;122;27;4
3;89;13;12;0;133;100;12;6;6;59;1;9;3;7;15;2;69;5;1;4;69;50;7;94;98;0
0;54;0;2;2;113;78;6;1;1;18;3;7;0;2;0;0;21;0;1;1;66;20;2;25;51;0
12;35;4;17;4;50;196;14;25;5;22;5;6;1;2;8;1;40;4;0;15;18;62;5;221;62;3
1;50;2;9;6;147;51;8;11;10;53;33;13;0;3;1;10;80;0;4;20;178;75;69;57;178;6
6;137;5;14;5;145;120;18;10;5;98;20;14;6;0;2;8;96;4;2;7;266;138;8;134;140;1
0;66;7;1;1;95;9;1;7;7;37;17;0;0;4;3;1;21;0;0;4;49;14;25;12;121;1
1;20;2;3;0;32;54;9;6;20;47;2;4;2;3;6;1;27;3;28;86;75;88;42;125;106;29
12;225;0;10;1;129;340;16;5;5;91;1;9;8;1;0;3;57;2;2;16;48;102;7;114;42;0
1;41;2;9;0;67;56;16;1;6;127;2;14;1;1;2;1;95;2;3;10;118;98;9;273;137;2
6;46;2;7;1;102;276;6;4;3;53;0;15;7;2;1;7;15;0;0;20;98;160;6;123;30;0
1;21;0;7;11;40;47;10;9;2;51;8;13;1;0;1;0;82;0;0;7;49;80;1;52;37;0
2;52;0;1;3;55;9;0;1;1;99;2;16;0;0;1;0;96;0;0;3;160;49;16;43;197;1
