q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13;cheapest; 2nd;3rd;most expensive
26.0;27.0;10.0;9.0;-4.0;0.0;0.0;-16.0;0.1278555149716778;0.5662172805888582;0.6758077219931533;0.7488680162626834
41.0;22.0;12.0;21.0;0.0;-16.0;-3.0;-15.0;-0.26179938779914946;-0.17912589691520753;0.23424155750450204;0.4271463695670333
32.0;13.0;20.0;9.0;-4.0;-14.0;-19.0;-3.0;-0.16939960387003783;-0.015399963988185272;0.23099945982277892;0.87779794732656
29.0;20.0;22.0;26.0;-17.0;-10.0;-20.0;-18.0;0.2724850770970737;0.464827484459714;0.6571698918223544;1.0097976386538616
30.0;26.0;12.0;11.0;-8.0;-19.0;-5.0;-4.0;0.17631387341575344;0.5289416202472608;0.5289416202472608;0.5609986881410343
49.0;37.0;32.0;26.0;-4.0;-11.0;-2.0;-4.0;0.052359877559829626;0.1832595714594044;0.26179938779914924;0.5235987755982985
45.0;18.0;2.0;4.0;0.0;-1.0;-9.0;-20.0;-0.8578964554033666;-0.6404015793856117;0.22957792468540789;0.253744022020714
47.0;12.0;22.0;29.0;-10.0;-12.0;-20.0;-8.0;-0.6212851143293247;-0.17583540971584644;0.4337273439657552;0.5509509504429864
26.0;22.0;16.0;20.0;-4.0;-12.0;-18.0;0.0;0.2855993321445265;0.7853981633974484;0.9281978294697115;1.0709974955419748
14.0;49.0;43.0;38.0;-7.0;-4.0;-18.0;-18.0;0.03516708194316942;0.08205652453406187;0.5275062291475399;0.644729835624771
1.0;37.0;38.0;28.0;-18.0;-18.0;-2.0;-6.0;-0.5329487537339828;-0.2524494096634655;0.8134480978045;1.2061471795032241
27.0;2.0;2.0;15.0;0.0;-8.0;-2.0;-20.0;-0.45118617897300206;-0.28408018676077895;0.6182921711852255;0.7853981633974486
1.0;46.0;27.0;40.0;-8.0;-15.0;-11.0;-18.0;-0.5399612373357456;-0.39269908169872414;0.4908738521234053;0.6381360077604268
21.0;14.0;28.0;44.0;-1.0;-3.0;-9.0;-5.0;-0.5779344975943487;-0.13336949944484955;0.014818833271650123;0.28155783216134955
0.0;17.0;16.0;39.0;-15.0;-14.0;-14.0;-4.0;-1.0181087303300256;-0.49450995473172665;-0.31997702953229373;0.46542113386515455
37.0;34.0;24.0;17.0;-6.0;-8.0;-15.0;-14.0;0.12083048667653062;0.3020762166913262;0.39269908169872425;0.6645676767209178
37.0;34.0;13.0;6.0;-2.0;-4.0;-13.0;-10.0;-0.1884955592153873;-0.06283185307179562;0.09424777960769393;0.3769911184307754
36.0;10.0;19.0;16.0;-9.0;-13.0;-9.0;-16.0;-0.6041524333826527;-0.30207621669132645;0.2718685950221936;0.48332194670612183
25.0;47.0;7.0;10.0;-17.0;-3.0;-14.0;-19.0;-0.6425984973251848;-0.2379994434537722;-0.09519977738150898;-0.04759988869075449
41.0;12.0;36.0;34.0;-3.0;-19.0;-6.0;-3.0;0.23561944901923432;0.2617993877991492;0.6021385919380433;1.0733774899765123
10.0;42.0;45.0;16.0;-17.0;-17.0;-14.0;-20.0;-0.6887337740562239;0.012083048667652974;0.012083048667653085;0.8578964554033666
8.0;41.0;6.0;1.0;-8.0;-13.0;-15.0;-2.0;-1.2061471795032241;-0.9256478354327069;-0.19634954084936207;0.028049934407051724
0.0;0.0;18.0;49.0;-11.0;-9.0;-8.0;-17.0;-0.975797718160466;-0.9043978851243344;-0.3807991095260355;-0.1903995547630178
47.0;44.0;6.0;26.0;-19.0;-8.0;-20.0;-12.0;-0.24616957360218517;-0.15239068842040027;0.4102826226703091;0.5743956717384326
42.0;42.0;3.0;25.0;-15.0;0.0;0.0;-2.0;-0.2893572180937967;0.1240102363259129;0.675166842218859;0.7302825028081537
48.0;46.0;19.0;44.0;-12.0;-8.0;-1.0;0.0;0.02617993877991487;0.2617993877991493;0.7853981633974482;0.9424777960769377
