1010;1001;0110;0101
588;229;852;340
446;319;756;214
731;1316;117;306
513;478;260;441
362;225;363;287
145;704;599;675
183;124;1275;952
328;538;375;612
558;1037;282;317
186;201;600;1828
258;255;739;897
361;121;1644;424
176;981;382;1013
383;348;355;313
291;1680;191;437
312;1064;273;1076
414;264;879;240
325;1849;79;386
856;139;1238;219
1149;437;641;117
232;190;1771;609
1040;390;569;116
542;142;1932;259
593;728;596;537
466;812;375;209
1810;468;327;80
2013;413;411;71
301;408;222;691
217;350;920;377
239;359;472;751
182;945;180;1261
802;495;424;217
977;228;1255;340
404;519;641;959
389;313;821;203
240;666;482;397
207;654;319;1354
999;581;363;147
217;188;845;992
874;554;427;227
329;348;659;612
488;190;1116;312
453;340;859;793
153;395;843;474
529;1102;252;803
274;225;753;622
149;757;416;813
285;980;254;1107
777;747;242;250
268;828;213;1488
228;544;523;509
536;447;280;508
673;508;452;209
463;260;511;313
308;244;551;491
301;341;346;266
1217;383;729;187
376;1051;217;369
558;1146;240;354
681;859;229;241
182;199;1339;472
1216;229;960;177
545;1446;163;311
432;684;169;545
129;460;566;1122
767;162;901;170
186;997;231;1188
208;318;528;1199
431;560;277;415
892;886;153;352
347;1149;369;574
250;294;1056;406
478;283;1315;477
149;330;503;1658
267;573;448;513
302;1154;124;800
767;831;471;150
240;158;1262;911
380;969;269;445
713;728;469;152
327;100;1046;559
169;878;158;592
442;393;240;397
211;567;266;667
245;902;150;703
144;540;337;1238
272;289;676;690
505;1095;172;421
340;566;297;411
86;744;274;1945
492;425;604;684
972;203;1019;164
500;930;257;256
447;1243;267;469
289;296;658;640
998;184;1128;132
971;675;302;210
169;341;796;1069
225;562;324;697
449;1294;116;446
284;133;1186;445
689;856;438;257
744;165;1263;250
759;99;1422;464
480;691;219;553
265;310;507;530
211;206;697;1335
2126;448;419;114
148;807;138;739
721;921;232;353
766;575;324;254
1245;602;482;94
464;403;506;427
510;204;883;261
100;800;283;1144
324;250;649;876
2208;412;293;102
217;430;383;1054
461;425;377;325
1957;146;803;44
208;288;966;882
305;357;436;960
373;968;281;866
210;254;1094;863
1581;848;195;128
538;126;1078;361
584;366;517;577
373;1037;169;519
344;905;281;565
191;155;663;790
767;1311;201;235
523;281;495;244
690;343;674;129
827;181;471;279
525;469;433;369
555;859;280;459
573;340;371;290
166;345;581;1031
435;158;1006;299
591;171;955;245
226;243;618;1063
659;552;193;369
189;672;224;780
166;378;766;1194
488;155;1170;312
116;762;280;740
208;105;809;699
167;346;582;986
958;163;858;143
387;1612;94;426
250;489;506;1046
131;327;382;1999
147;450;557;1159
630;1541;128;327
302;518;217;796
467;336;369;563
396;238;1339;323
752;229;838;487
901;988;140;365
261;310;546;1179
1591;238;747;51
363;230;663;668
499;249;443;552
402;731;200;480
251;178;814;1106
