001001000;100001000;001000010;001010000;100010000;001000001;000001010;100000010;100000001;000001100;001100000;100000100;000010010;000010001;010001000;010000010;001000100;000010100;000001001;010010000;100100000;010000001;000100010;010100000;000100100;010000100;000100001
58;24;58;10;4;25;213;5;8;145;12;4;94;74;1;4;9;57;111;0;6;4;56;1;21;1;34
1;0;0;0;0;0;25;7;6;28;0;13;47;41;1;3;4;30;38;0;0;9;35;0;12;6;23
21;9;25;15;5;10;201;17;2;46;1;3;181;42;1;7;4;43;64;0;0;5;85;1;15;2;8
0;0;5;0;8;6;38;17;25;10;0;4;152;106;1;6;2;66;21;6;6;18;44;2;18;2;24
0;11;9;2;2;2;197;26;28;113;0;2;163;111;0;4;5;77;134;2;0;4;122;0;51;1;73
2;0;0;1;0;0;34;5;20;14;0;0;94;237;4;7;0;45;144;13;0;26;42;5;23;7;146
2;1;7;0;0;6;23;5;3;111;5;48;11;2;1;1;89;52;16;1;1;1;35;0;98;0;34
1;0;15;0;0;6;121;6;7;98;0;0;54;25;0;8;2;43;101;0;0;11;89;0;47;10;27
2;0;4;0;0;5;32;13;17;47;0;5;110;117;0;4;3;108;31;2;0;4;32;0;20;1;22
1;0;0;0;0;1;24;1;19;74;4;10;22;92;2;0;0;46;97;2;2;6;46;3;196;0;415
2;5;5;0;9;28;55;8;14;71;2;3;56;181;7;14;7;51;264;2;1;33;18;1;23;18;186
8;64;1;0;29;5;118;29;62;206;3;57;24;30;2;2;0;43;153;0;28;5;106;3;150;3;94
35;5;27;3;4;13;151;7;18;186;2;8;159;139;8;14;6;74;221;16;0;21;82;7;96;7;109
2;0;1;0;0;4;65;3;1;206;2;8;31;20;2;1;15;71;99;0;0;1;53;2;257;14;81
0;0;6;2;5;0;189;23;5;34;2;8;317;181;0;40;3;108;36;0;0;10;177;0;49;11;38
1;5;1;2;3;1;28;8;3;56;3;16;25;12;8;14;10;64;15;6;8;4;59;7;130;12;26
3;3;1;0;6;7;5;4;8;34;2;5;1;32;1;0;6;18;54;0;3;8;12;2;66;2;105
0;3;18;4;0;9;33;3;1;135;15;7;46;38;5;36;52;184;21;5;0;27;84;31;224;140;72
5;13;4;2;4;9;260;10;9;208;0;15;118;71;4;10;7;87;125;1;1;9;178;5;208;6;120
0;0;7;0;1;5;41;0;2;8;0;0;148;63;0;13;0;21;32;1;0;9;126;0;31;1;153
0;0;6;0;4;29;3;13;17;70;3;56;13;89;1;2;26;72;36;0;0;10;26;0;66;19;48
2;2;2;0;1;11;70;15;27;74;3;24;67;230;0;6;11;171;88;2;2;13;47;0;122;11;207
1;0;13;1;0;3;49;5;9;128;0;26;57;34;0;2;31;65;33;0;1;1;89;2;183;17;126
2;0;0;1;2;5;32;4;9;179;1;26;8;43;0;3;3;114;123;1;1;6;12;0;232;10;86
3;11;23;3;7;4;147;14;13;102;3;12;255;147;2;10;4;170;84;1;3;3;144;0;81;0;94
0;0;2;0;0;10;19;2;5;30;0;6;95;211;0;6;7;73;80;2;0;2;27;1;37;7;116
0;7;4;0;4;2;21;21;21;95;0;40;19;36;1;3;16;74;43;0;6;6;28;3;167;13;30
0;0;14;0;0;26;25;2;14;17;0;2;15;61;3;5;2;30;77;0;1;53;61;1;46;10;189
1;12;2;0;4;18;74;27;152;32;0;16;32;200;0;3;1;47;142;0;3;29;21;0;10;2;152
1;0;0;1;1;0;19;0;0;60;0;0;79;34;1;10;6;249;6;10;1;4;19;0;49;29;5
9;0;28;17;1;49;25;0;9;38;5;6;25;101;0;1;12;76;168;1;4;7;23;0;44;0;84
