00001000100;10000000100;00100000100;01000000100;10001000000;00010000100;00101000000;10010000000;00001001000;01001000000;00000000110;01010000000;00001000001;10000001000;10000000001;00000000101;00110000000;00100001000;00001000010;10000100000;10000000010;00000100100;00010001000;01000001000;00100010000;00010000001;00001010000;00000001001;00100000001;10000010000;01000000010;00100000010;00010010000;01000010000;00010000010;01000000001;00000010001;00100100000;00000010010;00000001010;00000100001;00000101000;01000100000;00000110000;00000100010
3;3;0;1;1;9;0;4;23;0;29;0;9;17;6;49;0;0;4;0;1;1;49;0;2;32;1;185;1;0;1;0;14;0;18;2;63;0;35;104;10;11;0;2;3
3;2;1;2;0;1;1;1;3;0;48;1;4;4;1;18;2;0;2;0;4;1;6;7;2;1;3;58;1;7;0;5;3;8;3;8;80;0;126;67;5;6;1;3;2
33;13;3;25;5;25;0;4;20;7;52;4;19;23;12;72;0;10;11;7;9;55;10;7;2;1;9;104;3;10;5;3;12;14;8;3;56;2;51;146;8;19;10;20;14
2;6;2;0;1;9;0;0;1;0;59;0;16;2;8;93;0;0;0;4;3;2;2;0;1;12;3;31;2;2;0;3;3;0;4;0;35;0;18;18;19;3;0;5;6
5;2;4;2;1;11;2;0;6;1;123;2;13;3;12;94;0;7;15;1;7;9;13;10;2;45;6;150;3;2;5;5;13;7;39;7;263;1;153;155;16;23;2;11;19
3;1;2;0;0;12;0;0;5;0;68;0;6;0;2;22;1;1;5;0;2;7;8;0;1;11;12;69;3;0;5;3;13;0;18;3;44;0;104;140;20;16;1;20;29
5;7;12;1;0;2;0;1;0;1;76;0;3;2;1;92;1;3;3;0;3;7;1;2;9;8;9;21;2;4;0;8;7;6;3;3;168;2;89;34;1;2;1;4;3
11;18;2;3;5;39;0;2;6;0;204;1;7;8;8;214;0;1;8;2;10;8;28;1;0;6;3;109;0;5;0;0;7;0;10;2;75;0;64;133;6;19;0;0;7
8;7;1;5;1;3;0;0;14;0;45;1;4;3;3;43;2;3;0;0;5;8;4;5;1;1;17;34;0;8;2;1;6;10;5;1;50;0;35;43;4;13;2;2;4
18;0;2;3;1;9;0;1;37;1;42;0;16;0;0;117;0;2;24;0;0;1;34;3;1;13;14;163;5;0;1;3;7;2;5;3;62;1;66;113;4;7;0;2;2
1;1;1;0;0;3;0;0;1;0;88;0;12;0;1;84;0;1;6;0;0;0;0;1;1;6;1;66;0;1;2;0;2;1;5;5;94;0;80;33;4;0;0;3;1
23;1;10;5;2;30;2;0;3;0;164;0;8;0;0;138;1;3;27;1;0;36;6;0;6;7;19;37;2;2;1;6;18;2;26;4;91;1;121;54;1;15;0;25;21
1;5;1;0;3;9;0;0;1;1;48;0;18;1;5;135;1;1;25;0;1;6;1;3;1;10;11;31;2;6;9;1;19;2;3;4;126;0;122;23;6;1;0;12;4
3;0;1;2;0;15;2;0;4;1;64;2;6;0;0;98;0;1;5;0;0;9;33;4;1;9;11;132;0;0;4;1;41;4;4;9;179;0;63;58;10;14;0;35;4
1;1;0;1;1;1;0;1;0;0;25;1;11;3;11;55;0;1;7;0;3;2;2;0;0;15;0;101;0;9;3;0;4;2;6;3;72;1;65;81;5;2;1;2;2
21;2;0;4;0;2;0;1;15;0;14;0;4;1;1;71;0;0;5;0;0;3;3;0;1;8;4;57;1;0;2;0;0;1;0;1;41;1;10;26;8;8;1;6;3
12;1;1;0;0;3;0;0;7;0;104;0;5;2;0;30;0;0;43;1;1;18;4;0;2;1;8;34;1;1;2;4;0;0;10;1;17;1;71;219;10;16;0;5;12
0;3;2;0;0;3;1;0;2;0;14;0;6;2;3;99;2;3;0;0;0;0;5;0;7;9;1;126;8;1;0;0;4;0;0;0;64;0;13;29;0;2;0;1;1
1;4;0;0;0;2;0;0;15;0;41;0;2;6;2;12;0;0;3;1;1;10;20;2;0;0;8;25;3;3;0;3;10;0;3;0;20;0;31;120;2;15;0;2;13
11;0;0;1;1;2;1;2;11;2;67;0;39;0;0;118;0;2;36;0;0;5;7;0;5;10;20;54;2;2;3;2;13;4;4;2;191;0;148;61;13;12;2;11;12
31;2;0;2;0;19;0;0;5;0;105;0;2;0;1;39;0;0;6;0;1;23;2;0;0;0;0;15;0;2;1;0;1;2;4;1;12;0;35;25;2;1;0;5;15
0;0;2;0;1;7;0;0;3;0;9;0;2;1;1;33;3;6;0;1;1;4;39;0;15;18;8;110;11;0;1;2;30;0;11;2;133;6;43;52;7;6;0;15;2
