q0p0;q0p1;q1p0;q1p1;s02;s03;s12;s13;cheapest; 2nd;3rd;most expensive
3.0;29.0;9.0;22.0;-3.0;-15.0;-20.0;0.0;-0.1442568055219806;-0.11219973762820723;0.14425680552198006;1.2021400460165022
31.0;32.0;16.0;3.0;-2.0;-18.0;-11.0;-13.0;-0.15707963267948954;0.03141592653589809;0.502654824574367;0.7539822368615505
30.0;16.0;28.0;6.0;0.0;-18.0;-1.0;-6.0;-0.0654498469497874;-1.1102230246251565e-16;0.8181230868723419;1.308996938995747
41.0;41.0;41.0;16.0;-3.0;-6.0;-13.0;-7.0;0.2327105669325773;0.26179938779914946;0.7853981633974483;1.07628637206317
20.0;17.0;21.0;24.0;-6.0;-8.0;-9.0;-8.0;0.30939927648990384;0.49979883125292157;0.5949986086344303;0.6425984973251848
38.0;15.0;34.0;3.0;-15.0;-5.0;-6.0;-6.0;-0.6668474972242484;0.04445649981494998;0.25192016561804964;0.6668474972242486
5.0;38.0;8.0;37.0;-3.0;-8.0;-1.0;-7.0;-1.1951711182135083;-0.3756252085813883;-1.1102230246251565e-16;0.7853981633974482
26.0;29.0;26.0;10.0;-8.0;-10.0;-19.0;-5.0;0.3599741582238303;0.6217735460229796;0.6872233929727671;0.9490227807719165
37.0;20.0;29.0;4.0;-18.0;-11.0;-9.0;-12.0;-0.47123889803846886;0.04283989982167902;0.3284392319662056;0.556918697681827
12.0;38.0;47.0;43.0;-7.0;-9.0;-4.0;-18.0;0.0604152433382652;0.20541182735010177;0.47123889803846897;0.9062286500739787
20.0;3.0;0.0;5.0;-9.0;-2.0;-15.0;-7.0;-0.8751579535000138;-0.29171931783333793;0.15707963267948966;0.6956383732948828
28.0;8.0;15.0;3.0;-20.0;-7.0;-10.0;-20.0;-0.6872233929727674;0.03272492347489342;0.3599741582238303;0.3926990816987239
18.0;2.0;22.0;26.0;-14.0;-15.0;-16.0;-6.0;-0.26179938779914935;0.2617993877991496;0.4113990379700919;0.523598775598299
26.0;3.0;9.0;19.0;-7.0;-17.0;-16.0;-5.0;-0.6392775748583882;0.12785551497167758;0.529687133454093;0.5296871334540931
20.0;1.0;41.0;4.0;-6.0;-13.0;-14.0;-4.0;-1.1281173619708802;-0.8425180298263537;-0.35699916518065833;0.41411903160956354
12.0;9.0;4.0;31.0;-1.0;-20.0;-6.0;-16.0;-0.2925993157755199;-0.04619989196455568;0.20019953184640848;0.23099945982277903
40.0;27.0;21.0;1.0;-10.0;-11.0;-18.0;-9.0;-0.3791577340539405;-0.08124808586870147;-0.08124808586870147;0.4874885152122095
48.0;0.0;44.0;25.0;-3.0;-7.0;-9.0;-14.0;-1.0134169850289654;-0.4053667940115862;0.380031369385862;0.9627461357775172
4.0;39.0;38.0;39.0;-16.0;-15.0;-16.0;-8.0;-0.2427594323228479;-0.1856395658939427;0.7568382301829952;1.0138776291130691
22.0;15.0;19.0;3.0;-6.0;-8.0;-7.0;-13.0;-0.38147910793590345;0.15707963267948966;0.6058785831923172;0.9649177436025793
8.0;17.0;0.0;20.0;-14.0;-3.0;-11.0;-8.0;-0.6929983794683365;-0.13859967589366717;0.7391982714328929;0.9239978392911159
8.0;26.0;2.0;44.0;-17.0;-16.0;-8.0;-10.0;-1.223161074143567;-0.5278905688409081;-0.11587841755044326;0.5021398093852538
26.0;25.0;14.0;41.0;-12.0;-14.0;-6.0;-7.0;-0.3569991651806584;-0.21419949910839514;0.35699916518065833;0.5283587644673742
43.0;23.0;0.0;45.0;-10.0;-1.0;-6.0;-8.0;-1.0138776291130696;-0.556918697681827;0.21419949910839498;0.9853176958986168
45.0;26.0;14.0;42.0;-3.0;-11.0;-19.0;-8.0;-0.44178646691106466;0.4172427743048943;0.5154175447295755;0.9081166264282996
46.0;32.0;37.0;29.0;-3.0;-17.0;-18.0;-13.0;0.1472621556370216;0.22089323345553247;0.39269908169872414;0.9326603190344699
21.0;7.0;24.0;27.0;-19.0;-16.0;-8.0;-18.0;0.1365909849386865;0.37562520858138815;0.4780684472854033;0.6829549246934331
41.0;32.0;13.0;47.0;-18.0;-1.0;-10.0;0.0;-0.20541182735010188;-0.18124573001479583;0.8578964554033665;1.0512252340858153
45.0;40.0;2.0;29.0;-12.0;-2.0;-11.0;-6.0;-0.5098198604509752;-0.39958853927238597;0.3720307089777386;0.6200511816295644
12.0;13.0;33.0;41.0;-16.0;-18.0;-16.0;-5.0;-0.14643016605715165;-0.11980649950130595;0.013311833277922736;0.38604316505976255
29.0;30.0;6.0;49.0;-4.0;-13.0;-1.0;-16.0;-0.44707280070316296;-0.3504084113619386;0.3262423140266324;0.3745745086972445
6.0;11.0;26.0;12.0;-9.0;-14.0;-11.0;-4.0;-0.5497787143782138;0.039269908169872414;0.19634954084936207;0.3141592653589793
49.0;48.0;40.0;30.0;-5.0;-13.0;-14.0;-13.0;0.3116659378561306;0.33659921288462114;0.5360654131125444;0.7853981633974487
28.0;49.0;16.0;20.0;0.0;-20.0;-1.0;-18.0;-0.35286004442494057;0.011382582078223846;0.17073873117335825;0.46668586520717925
3.0;36.0;14.0;27.0;0.0;-6.0;-17.0;-7.0;-0.3408331652479491;-0.1333694994448495;0.13336949944484988;0.8150358299407485
